"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.584458750E-1,-1.608133912E-1,-2.272736281E-1,6.199558452E-2
1.684258750E-1,-2.015632838E-1,-2.463680208E-1,6.767363846E-2
1.784048750E-1,-2.100174874E-1,-2.243764400E-1,6.748641282E-2
1.883838750E-1,-1.821586043E-1,-2.061907500E-1,7.347976416E-2
1.983628750E-1,-1.416694969E-1,-2.126614302E-1,6.768259406E-2
2.083428750E-1,-1.076050028E-1,-2.235447168E-1,5.329912528E-2
2.183218750E-1,-7.693257928E-2,-2.515808940E-1,4.597463459E-2
2.283008750E-1,-5.704515055E-2,-2.520247400E-1,2.835279517E-2
2.383108750E-1,-4.851638153E-2,-2.264613360E-1,1.899631135E-2
2.482898750E-1,-5.423306301E-2,-2.176308930E-1,2.317295782E-2
2.582688750E-1,-5.200799182E-2,-1.999842525E-1,2.154629864E-2
2.682488750E-1,-3.800369799E-2,-1.768131405E-1,2.749557793E-2
2.782278750E-1,-2.064654790E-2,-1.670145690E-1,4.019379616E-2
2.882068750E-1,-7.049228996E-3,-1.925266236E-1,5.569615215E-2
2.981858750E-1,-9.106520563E-3,-2.267607749E-1,6.630990654E-2
3.081658750E-1,-2.499094605E-2,-2.661974728E-1,6.745398045E-2
3.181448750E-1,-4.543416947E-2,-3.119955957E-1,6.594450027E-2
3.281238750E-1,-6.173244864E-2,-3.594865799E-1,7.566425949E-2
3.381028750E-1,-8.825593442E-2,-3.975189328E-1,9.151592851E-2
3.480828750E-1,-1.190137565E-1,-4.306696057E-1,9.374067187E-2
3.580618750E-1,-1.235578954E-1,-3.835580051E-1,8.575278521E-2
3.680408750E-1,-1.282413751E-1,-3.441025615E-1,8.154589683E-2
3.780198750E-1,-1.358076781E-1,-3.348166645E-1,7.916956395E-2
3.879988750E-1,-1.480012685E-1,-3.010268807E-1,7.720603794E-2
3.979788750E-1,-1.686029583E-1,-2.552761734E-1,8.496941626E-2
4.079578750E-1,-1.931612939E-1,-2.391179502E-1,8.315766603E-2
4.179368750E-1,-2.069415599E-1,-2.639572620E-1,7.377854735E-2
4.279158750E-1,-2.199154794E-1,-3.543343842E-1,7.061170787E-2
4.378958750E-1,-2.411318123E-1,-4.436720014E-1,7.592284679E-2
4.478748750E-1,-2.208293974E-1,-5.502529144E-1,7.699061185E-2
4.578538750E-1,-1.987171769E-1,-5.711054206E-1,7.395647466E-2
4.678328750E-1,-1.556899548E-1,-5.583924651E-1,5.858536065E-2
4.778128750E-1,-1.196531132E-1,-6.061059237E-1,2.737151459E-2
4.878218750E-1,-2.877633646E-2,-5.787627697E-1,1.477041282E-2
4.978018750E-1,2.839533985E-2,-5.298103690E-1,1.973774098E-2
5.077808750E-1,-3.591847420E-2,-4.889999926E-1,3.320151567E-2
5.177598750E-1,-5.894363672E-2,-4.031053185E-1,4.288450256E-2
5.277388750E-1,-3.806045651E-2,-3.999654353E-1,6.574933976E-2
5.377188750E-1,-3.351745196E-3,-4.087805152E-1,8.552330732E-2
5.476978750E-1,1.015460677E-2,-4.353837967E-1,1.131052524E-1
5.576768750E-1,-6.800142117E-3,-4.594888687E-1,1.189753935E-1
5.676558750E-1,-1.779499277E-2,-4.773226380E-1,9.803711623E-2
5.776358750E-1,-2.457300201E-2,-4.344832897E-1,6.662566960E-2
5.876148750E-1,-1.077524014E-2,-3.511574268E-1,4.021605849E-2
5.975938750E-1,2.548928931E-2,-2.810395956E-1,3.623356670E-2
6.075728750E-1,5.710887536E-2,-2.368907779E-1,5.538081005E-2
6.175528750E-1,5.987350270E-2,-1.401922107E-1,7.565971464E-2
6.275318750E-1,4.542446136E-2,-7.927160710E-2,7.585434616E-2
6.375108750E-1,3.295527399E-2,-5.337316543E-2,7.984163612E-2
6.474898750E-1,2.095600590E-2,-4.194830358E-2,8.509833366E-2
6.574698750E-1,-1.032761484E-2,-2.963038534E-2,8.734817058E-2
6.674488750E-1,-3.799393028E-2,1.335135382E-2,8.123774081E-2
6.774278750E-1,-4.219479859E-2,4.434388876E-2,6.626705080E-2
6.874068750E-1,-1.948750019E-2,4.681453109E-2,6.353019923E-2
6.973868750E-1,1.617408916E-2,4.609920830E-2,5.224079266E-2
7.073658750E-1,4.524642974E-2,9.412005544E-2,3.403514624E-2
7.173448750E-1,7.429751754E-2,1.135355607E-1,8.821934462E-3
7.273548750E-1,9.459507465E-2,1.627290100E-1,-1.961047575E-2
