"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.150249583E-1,-4.758305054E0,1.916015625E-1,8.380472717E0
8.250349583E-1,-3.990401917E0,-1.923649750E0,3.849095764E0
8.350439584E-1,-4.223167877E0,-3.250640259E0,1.091679840E0
8.450849584E-1,-4.456831970E0,-4.726421356E0,-9.605525208E-1
8.550939584E-1,-5.157973938E0,-6.379134521E0,-1.868713989E0
8.651039583E-1,-5.146597595E0,-7.003635864E0,-2.344873810E0
8.751139583E-1,-6.506519623E0,-6.691983948E0,-2.046993256E0
8.851539583E-1,-9.037456512E0,-6.555617523E0,-7.288343811E-1
8.951639583E-1,-1.197554672E1,-6.294261017E0,1.145118713E0
9.051739583E-1,-1.383303406E1,-5.703589325E0,3.265160065E0
9.151839583E-1,-1.481993179E1,-5.690416718E0,5.180876312E0
9.252239584E-1,-1.607088043E1,-5.105732574E0,6.075416107E0
9.352339584E-1,-1.588721237E1,-4.806804199E0,6.189628601E0
9.452429583E-1,-1.589679245E1,-5.596262512E0,5.988596649E0
9.552529583E-1,-1.675046722E1,-5.334756317E0,5.516478424E0
9.652929583E-1,-1.830513428E1,-5.017116852E0,5.428910522E0
9.753029583E-1,-2.094579300E1,-4.329446869E0,6.123765564E0
9.853129583E-1,-2.291075684E1,-3.773952026E0,6.281088409E0
9.953229583E-1,-2.349244720E1,-3.623664551E0,4.161496124E0
1.005362958E0,-2.262949173E1,-3.056194611E0,8.494834900E-1
1.015372958E0,-2.114188522E1,-3.101101227E0,-2.261347504E0
1.025381958E0,-2.063039886E1,-3.430715790E0,-4.025878143E0
1.035391958E0,-2.130324966E1,-2.007774811E0,-3.801794128E0
1.045432958E0,-2.167328018E1,4.924758911E-2,-2.713557129E0
1.055441958E0,-2.138602753E1,9.764195251E-1,-1.269809418E0
1.065451958E0,-2.120894577E1,9.431886292E-1,-5.257067871E-1
1.075461958E0,-2.052711365E1,6.048921204E-1,-5.490582275E-1
1.085501958E0,-1.939202408E1,3.727249146E-2,-1.068777466E0
1.095511958E0,-1.823627747E1,-4.134402466E-1,-1.980980530E0
1.105521958E0,-1.640079437E1,-1.230441284E0,-2.420915680E0
1.115530958E0,-1.432685715E1,-2.610571289E0,-2.535427551E0
1.125571958E0,-1.296274384E1,-3.653302917E0,-3.256777496E0
1.135580958E0,-1.149115402E1,-4.665198669E0,-3.189716949E0
1.145590958E0,-9.890682220E0,-5.170697479E0,-3.268303528E0
1.155600958E0,-8.072113953E0,-6.306086426E0,-3.959266663E0
1.165640958E0,-6.351142731E0,-7.141499176E0,-4.446653137E0
1.175650958E0,-5.711672516E0,-6.707102509E0,-4.110601959E0
1.185660958E0,-6.401887207E0,-4.610262909E0,-3.339255981E0
