"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.075583208E-3,-3.851041718E0,3.725003815E0,8.028404846E0
1.206458313E-2,-3.701053619E0,3.527863770E0,8.597072296E0
2.205458330E-2,-3.697311401E0,3.442241821E0,8.938961334E0
3.204458323E-2,-3.765419769E0,3.562441864E0,8.933572540E0
4.203458317E-2,-3.814367981E0,3.700155487E0,9.010811920E0
5.202458333E-2,-3.790118408E0,3.736230469E0,9.192683716E0
6.201458327E-2,-3.769461365E0,3.689377899E0,9.360484772E0
7.200358319E-2,-3.752845917E0,3.738326111E0,9.378746796E0
8.199358312E-2,-3.842060394E0,3.828438721E0,9.088799744E0
9.198358329E-2,-3.667822723E0,3.822002106E0,8.956175537E0
1.019735832E-1,-3.623963928E0,3.552861786E0,9.217532043E0
1.119635832E-1,-3.305576019E0,3.321443024E0,9.469308472E0
1.219535833E-1,-2.891087952E0,3.064427490E0,9.501491547E0
1.319425832E-1,-2.483186188E0,2.791994019E0,9.278904419E0
1.419325832E-1,-1.772613831E0,2.463726654E0,8.797056427E0
1.519225831E-1,-1.211281128E0,2.478545837E0,8.103249207E0
1.619125833E-1,-7.885601807E-1,2.441123657E0,8.251441040E0
1.719025832E-1,-1.112187195E0,1.995350647E0,9.253307648E0
1.818925831E-1,-1.888472900E0,1.773511963E0,9.974657593E0
1.918815833E-1,-2.103725281E0,2.136656799E0,1.012659164E1
2.018715832E-1,-2.147584076E0,2.759810944E0,9.899364166E0
2.118615832E-1,-1.982926483E0,3.273842010E0,9.800719299E0
2.218515831E-1,-1.398092651E0,3.445235596E0,9.636959839E0
2.318415833E-1,-8.659492493E-1,3.176694031E0,9.447453918E0
2.418305832E-1,-7.301815796E-1,2.785856781E0,9.379794617E0
2.518205831E-1,-6.813830566E-1,2.454595642E0,9.397457886E0
2.618105833E-1,-6.032455444E-1,2.248025208E0,9.376651154E0
2.718005832E-1,-6.496490479E-1,2.157463531E0,9.311386871E0
2.817905832E-1,-6.815327454E-1,2.143542480E0,9.245523834E0
2.917805833E-1,-7.282356262E-1,2.250420227E0,9.224417725E0
3.017695833E-1,-7.191046143E-1,2.391576691E0,9.279353485E0
3.117595832E-1,-6.710545349E-1,2.431393890E0,9.403445435E0
3.217495831E-1,-5.957611084E-1,2.489772491E0,9.494007111E0
3.317395833E-1,-3.929328918E-1,2.500400391E0,9.497000885E0
3.417295832E-1,-2.546205139E-1,2.366428986E0,9.507628784E0
3.517195832E-1,-1.399589539E-1,2.204914856E0,9.453441467E0
3.617085833E-1,-4.999603271E-2,2.139650574E0,9.436227264E0
3.716985832E-1,9.729766846E-2,2.123933258E0,9.583670654E0
3.816885832E-1,3.086581421E-1,2.119741974E0,9.673783264E0
3.916785831E-1,4.061054993E-1,2.063758392E0,9.600136414E0
4.016685833E-1,4.887336731E-1,1.898951111E0,9.571246490E0
4.116585832E-1,6.087840271E-1,1.719324646E0,9.627978516E0
4.216475831E-1,7.535330200E-1,1.594184875E0,9.666897583E0
4.316375833E-1,8.755293274E-1,1.562450867E0,9.756411438E0
4.416275832E-1,9.752220154E-1,1.580862579E0,9.718839569E0
4.516175832E-1,1.001267853E0,1.624571686E0,9.503287811E0
4.616075833E-1,8.982820129E-1,1.642085266E0,9.429042206E0
4.715975833E-1,7.575746155E-1,1.639839935E0,9.561217346E0
4.815865832E-1,6.650669861E-1,1.647923126E0,9.666149139E0
4.915765831E-1,6.207591248E-1,1.657652893E0,9.638157349E0
5.015665833E-1,6.056405640E-1,1.597328339E0,9.672735443E0
5.115565832E-1,6.496490479E-1,1.494342499E0,9.711355133E0
5.215465832E-1,6.951544189E-1,1.388662262E0,9.704469452E0
5.315365833E-1,6.810836792E-1,1.357527008E0,9.704020386E0
5.415255832E-1,6.210585022E-1,1.407223663E0,9.657916260E0
5.515155832E-1,6.240522766E-1,1.463207245E0,9.671238556E0
5.615055831E-1,6.644682312E-1,1.539997559E0,9.748627625E0
5.714955833E-1,6.397695923E-1,1.610351257E0,9.768536224E0
5.814855832E-1,5.751040649E-1,1.616638184E0,9.791737976E0
5.914755831E-1,5.363346863E-1,1.634900208E0,9.783804474E0
6.014645833E-1,5.393284607E-1,1.663939819E0,9.713899841E0
6.114545832E-1,5.345384216E-1,1.661544800E0,9.695937195E0
6.214445832E-1,4.249662781E-1,1.677262115E0,9.840985565E0
6.314345831E-1,4.040098572E-1,1.702709198E0,1.006057892E1
6.414245833E-1,4.426295471E-1,1.746418304E0,1.008857071E1
6.514145832E-1,4.863386536E-1,1.828747101E0,9.915380859E0
6.614035831E-1,5.417234802E-1,1.877545624E0,9.713450775E0
6.713935833E-1,6.451583862E-1,1.880689087E0,9.575138397E0
6.813835832E-1,6.291416931E-1,1.852996674E0,9.411378937E0
6.913735832E-1,6.054908752E-1,1.833986206E0,9.422156525E0
7.013635833E-1,6.117778015E-1,1.864223328E0,9.478140106E0
7.113535833E-1,5.816903687E-1,1.890418854E0,9.445957031E0
7.213425832E-1,5.477110291E-1,1.805395660E0,9.424551544E0
7.313325831E-1,5.297483826E-1,1.649270325E0,9.467212830E0
7.413225833E-1,5.198689270E-1,1.532812500E0,9.566456451E0
7.513125832E-1,4.351451111E-1,1.511556702E0,9.689650269E0
7.613025832E-1,3.685336304E-1,1.536105652E0,9.727371826E0
7.712925833E-1,3.785627747E-1,1.583856354E0,9.630523224E0
7.812815832E-1,3.347039795E-1,1.667083282E0,9.601483612E0
7.912715832E-1,2.921923828E-1,1.809736633E0,9.685908051E0
8.012615831E-1,1.345701599E-1,2.011816406E0,9.861492920E0
8.112515833E-1,-2.005828857E-2,2.243235168E0,1.009336075E1
8.212392915E-1,-1.422042847E-2,2.437980194E0,1.017119888E1
8.312292916E-1,1.077758789E-2,2.494712219E0,1.025098297E1
8.412182915E-1,1.089733887E-1,2.486179962E0,1.023077499E1
8.512082915E-1,1.853146362E-1,2.401905212E0,1.003932312E1
8.611982916E-1,2.264790344E-1,2.316882019E0,9.643097076E0
8.711882916E-1,2.755769348E-1,2.324665833E0,9.650431824E0
8.811782915E-1,2.712359619E-1,2.370470581E0,9.732610931E0
8.911682914E-1,2.350112915E-1,2.384541321E0,9.681567078E0
9.011572916E-1,1.666035461E-1,2.364483032E0,9.590706024E0
9.111472915E-1,8.831634521E-3,2.232457581E0,9.430838470E0
9.211372915E-1,-1.393601990E-1,2.030677185E0,9.187893677E0
9.311272916E-1,-2.080673218E-1,2.061662750E0,8.881929932E0
9.411172916E-1,-2.417472839E-1,2.196831665E0,9.316476288E0
9.511072915E-1,-2.887495422E-1,2.311193848E0,9.703271942E0
9.610962917E-1,-3.754193115E-1,2.365081787E0,9.846524048E0
9.710862916E-1,-2.814147949E-1,2.449057159E0,9.692344666E0
9.810762915E-1,-1.588197327E-1,2.455044708E0,9.573641510E0
9.910662915E-1,-2.164498901E-1,2.377955017E0,9.553583221E0
1.001056292E0,-2.516267395E-1,2.431693268E0,9.482481079E0
1.011046292E0,-2.746788025E-1,2.583926697E0,9.553732910E0
1.021035291E0,-3.300636292E-1,2.637664948E0,9.526040497E0
1.031025292E0,-3.603007507E-1,2.650837555E0,9.414971466E0
1.041015292E0,-2.968327332E-1,2.679877167E0,9.336384888E0
1.051005292E0,-2.737806702E-1,2.742297363E0,9.239835663E0
1.060995291E0,-3.544628906E-1,2.806364136E0,9.269623718E0
1.070985292E0,-4.108955383E-1,2.644400940E0,9.333989868E0
1.080974292E0,-3.604504395E-1,2.452350311E0,9.248966675E0
1.090964291E0,-3.204835510E-1,2.400558014E0,9.222471771E0
1.100954292E0,-4.369413757E-1,2.354154510E0,9.393565979E0
1.110944292E0,-5.551954651E-1,2.204765167E0,9.533524933E0
1.120934292E0,-5.998027039E-1,2.008822632E0,9.770781555E0
1.130924291E0,-5.704637146E-1,1.914818115E0,9.987381134E0
1.140913292E0,-4.893324280E-1,1.977537689E0,9.992171173E0
1.150903292E0,-4.833448792E-1,2.038460999E0,9.995015259E0
1.160893291E0,-4.364923096E-1,2.041604462E0,1.001701950E1
1.170883292E0,-4.120930481E-1,2.017953644E0,9.833950195E0
1.180873292E0,-4.608915710E-1,2.165247345E0,9.758806458E0
1.190862291E0,-3.784130859E-1,2.468816071E0,9.740394745E0
1.200852292E0,-2.992277527E-1,2.654130707E0,9.759105835E0
1.210842292E0,-1.862127686E-1,2.765349426E0,9.839788055E0
1.220832292E0,-7.529342651E-2,2.797682190E0,9.728569336E0
1.230822291E0,4.355941772E-2,2.770588531E0,9.656718750E0
1.240812292E0,1.104702759E-1,2.827769623E0,9.492659912E0
1.250802292E0,9.520202637E-2,2.777324524E0,9.339528351E0
1.260791291E0,-1.272354126E-2,2.698139191E0,9.323212280E0
1.270781292E0,-9.759704590E-2,2.677781525E0,9.393416290E0
1.280771292E0,-8.322692871E-2,2.540816345E0,9.257798309E0
1.290761292E0,-4.490661621E-2,2.435734863E0,9.185498657E0
1.300751291E0,-4.827461243E-1,2.439776459E0,9.005423126E0
1.310740292E0,-4.873864746E-1,2.574795685E0,8.571924591E0
1.320730292E0,1.197509766E-2,2.697540436E0,9.377549286E0
1.330720291E0,6.182144165E-2,2.595752106E0,9.401798859E0
1.340710292E0,-1.857637024E-1,2.142644348E0,9.177265778E0
1.350700292E0,-3.372486877E-1,1.862427063E0,9.182504883E0
1.360690292E0,-2.387535095E-1,1.828747101E0,9.236841888E0
1.370679292E0,1.163081360E-1,2.213447113E0,9.079369354E0
1.380669292E0,9.610015869E-2,2.455344086E0,9.075028381E0
