"event","experiment time","system time","system time text"
"START",0.000000000E0,1636389684.782,"2021-11-08 17:41:24.782 UTC+01:00"
"PAUSE",6.208987805E1,1636389746.872,"2021-11-08 17:42:26.872 UTC+01:00"
