"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.588487500E-2,-4.049953818E-1,-1.669728160E0,2.763448954E-1
5.591287499E-2,-5.852701068E-1,-1.601977587E0,7.211186737E-2
6.593987497E-2,-7.554418445E-1,-1.480313182E0,-2.847991288E-1
7.596787508E-2,-8.985732198E-1,-1.307717681E0,-7.048696876E-1
8.599587507E-2,-1.039545417E0,-1.106706500E0,-1.092258453E0
9.602387506E-2,-1.208299160E0,-9.855510592E-1,-1.408310652E0
1.060518750E-1,-1.387988806E0,-1.004389763E0,-1.638559341E0
1.160798750E-1,-1.580020070E0,-1.175624967E0,-1.777093887E0
1.261078750E-1,-1.781207323E0,-1.395868301E0,-1.802577734E0
1.361348750E-1,-1.959644675E0,-1.597628117E0,-1.693042874E0
1.461628750E-1,-2.106908798E0,-1.837024689E0,-1.447838664E0
1.561908750E-1,-2.216667652E0,-2.144563198E0,-1.120315552E0
1.662188750E-1,-2.262895584E0,-2.571838140E0,-7.227085233E-1
1.762468751E-1,-2.214500189E0,-2.951601267E0,-3.219537437E-1
1.862748751E-1,-2.064236164E0,-3.144759417E0,1.986536384E-2
1.963028751E-1,-1.842653275E0,-3.113724232E0,2.691500187E-1
2.063308751E-1,-1.571226478E0,-2.969619036E0,4.141676426E-1
2.163578750E-1,-1.299763322E0,-2.547645807E0,5.000188947E-1
2.263858750E-1,-1.046928167E0,-2.139210463E0,5.192295909E-1
2.364138750E-1,-8.319989443E-1,-1.841178775E0,4.756057262E-1
2.464418750E-1,-6.602860689E-1,-1.620844007E0,4.071952701E-1
2.564698750E-1,-5.090323687E-1,-1.434199095E0,3.416211009E-1
2.664978750E-1,-3.587493896E-1,-1.236113667E0,3.143015802E-1
2.765258750E-1,-2.062376887E-1,-1.003332138E0,3.321987689E-1
2.865528751E-1,-6.733652949E-2,-7.699581385E-1,3.800400794E-1
2.965808751E-1,5.394143239E-2,-5.763697028E-1,4.402121603E-1
3.066088750E-1,1.557959020E-1,-4.233995974E-1,5.032531619E-1
3.166368750E-1,2.256779671E-1,-2.878583372E-1,5.693933368E-1
3.266648750E-1,2.695836425E-1,-1.480634063E-1,6.133711934E-1
3.366928750E-1,2.743462026E-1,1.818909775E-3,6.424228549E-1
3.467208750E-1,2.426644713E-1,1.438183933E-1,6.438683867E-1
3.567478750E-1,1.740534604E-1,2.020741552E-1,6.186394095E-1
3.667758750E-1,8.800859749E-2,1.357105672E-1,5.857126117E-1
3.768038750E-1,7.376954891E-3,4.796035960E-2,5.514240265E-1
3.868318751E-1,-7.598371804E-2,4.494752735E-2,5.250741839E-1
3.968598751E-1,-1.641162038E-1,1.426615566E-1,4.858824015E-1
4.068878751E-1,-2.852421105E-1,2.939176559E-1,4.143392444E-1
