"event","experiment time","system time","system time text"
"START",0.000000000E0,1636390215.505,"2021-11-08 17:50:15.505 UTC+01:00"
"PAUSE",3.252877702E1,1636390248.034,"2021-11-08 17:50:48.034 UTC+01:00"
