"event","experiment time","system time","system time text"
"START",0.000000000E0,1636360849.059,"2021-11-08 14:10:49.059 UTC+05:30"
"PAUSE",3.004279982E1,1636360879.101,"2021-11-08 14:11:19.101 UTC+05:30"
