"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.102346900E-2,-1.603221595E-1,1.615205854E-1,1.304947771E-2
3.348690600E-2,-1.571263671E-1,1.593900621E-1,1.518000476E-2
3.595034400E-2,-1.528653204E-1,1.657816321E-1,1.837579533E-2
3.841372900E-2,-1.496695280E-1,1.711079478E-1,2.689790353E-2
4.087716700E-2,-1.464737356E-1,1.668469012E-1,3.328948468E-2
4.334055200E-2,-1.443432122E-1,1.689774245E-1,3.861580417E-2
4.580399000E-2,-1.496695280E-1,1.615205854E-1,4.394211993E-2
4.826737500E-2,-1.581916362E-1,1.540637314E-1,4.713791236E-2
5.073081300E-2,-1.688442677E-1,1.466068923E-1,3.968106583E-2
5.319419800E-2,-1.826926917E-1,1.327584684E-1,3.115895763E-2
5.565763600E-2,-1.954758614E-1,1.189100444E-1,2.796316706E-2
5.812107300E-2,-2.050632238E-1,1.178447753E-1,2.689790353E-2
6.058445900E-2,-2.167811245E-1,1.189100444E-1,2.583264001E-2
6.304789600E-2,-2.338253409E-1,1.157142520E-1,2.263684943E-2
6.551128100E-2,-2.530000806E-1,1.082574055E-1,2.476737648E-2
6.797471900E-2,-2.721748352E-1,9.334371984E-2,3.328948468E-2
7.043810400E-2,-2.892190516E-1,8.162581921E-2,3.435475007E-2
7.290154200E-2,-3.020022213E-1,6.458160281E-2,3.968106583E-2
7.536492700E-2,-3.147853613E-1,6.351634115E-2,4.820317402E-2
7.782836500E-2,-3.307643235E-1,7.310371101E-2,6.098633632E-2
8.029180200E-2,-3.414169550E-1,6.564686447E-2,7.590002567E-2
8.275518800E-2,-3.414169550E-1,5.392896757E-2,8.335687220E-2
8.521862500E-2,-3.328948617E-1,6.564686447E-2,8.655266464E-2
8.768201100E-2,-3.339601159E-1,8.908266574E-2,9.507477283E-2
9.014544800E-2,-3.350253701E-1,1.008005589E-1,9.933582693E-2
9.260883400E-2,-3.339601159E-1,9.973529726E-2,1.057274044E-1
9.507227100E-2,-3.307643235E-1,1.071921438E-1,1.131842509E-1
9.753565600E-2,-3.392864466E-1,1.284974068E-1,1.195758283E-1
9.999909400E-2,-3.456780016E-1,1.466068923E-1,1.185105667E-1
1.024625310E-1,-3.616569638E-1,1.498026848E-1,1.174453050E-1
1.049259170E-1,-3.829622269E-1,1.519332081E-1,1.206410974E-1
1.073893540E-1,-4.032022357E-1,1.476721615E-1,1.227716208E-1
1.098527400E-1,-4.127896130E-1,1.295626760E-1,1.185105667E-1
1.123161770E-1,-4.191811979E-1,1.210405678E-1,1.121189892E-1
1.147795630E-1,-4.287685752E-1,1.082574055E-1,1.078579351E-1
1.172430000E-1,-4.351601601E-1,7.523423433E-2,1.035968810E-1
1.197063860E-1,-4.372906685E-1,4.008053988E-2,9.720529616E-2
1.221698230E-1,-4.362254143E-1,1.451421529E-2,9.507477283E-2
1.246332610E-1,-4.383559525E-1,-2.530000871E-3,8.761792630E-2
1.270966460E-1,-4.490085840E-1,-7.856318727E-3,7.803055644E-2
1.295600840E-1,-4.617917240E-1,-2.063948102E-2,6.418212503E-2
1.320234690E-1,-4.681833088E-1,-4.087948799E-2,4.394211993E-2
1.344869060E-1,-4.862928092E-1,-3.661843389E-2,1.944105886E-2
1.369502920E-1,-5.097286105E-1,-2.383527160E-2,-1.145158336E-2
1.394137290E-1,-5.416864753E-1,-2.596579865E-2,-4.447475076E-2
1.418771150E-1,-5.789707303E-1,-3.555316851E-2,-7.643266022E-2
1.443405520E-1,-6.215812564E-1,-5.366265029E-2,-1.009337157E-1
1.468039900E-1,-6.663223505E-1,-6.218475848E-2,-1.158474088E-1
1.492673750E-1,-7.174549699E-1,-6.325002015E-2,-1.286305636E-1
1.517308130E-1,-7.600654960E-1,-6.751107424E-2,-1.286305636E-1
1.541941980E-1,-8.026760817E-1,-7.922897488E-2,-1.254347861E-1
1.566576360E-1,-8.420908451E-1,-9.733845294E-2,-1.222389862E-1
1.591210210E-1,-8.740487099E-1,-1.346226782E-1,-1.190432012E-1
1.615844590E-1,-8.996150494E-1,-1.527321637E-1,-1.179779321E-1
1.640478440E-1,-9.049413800E-1,-1.655153185E-1,-1.222389862E-1
1.665112810E-1,-9.006803036E-1,-1.676458418E-1,-1.265000403E-1
1.689747190E-1,-8.857666254E-1,-1.655153185E-1,-1.339568943E-1
1.714381040E-1,-8.665918708E-1,-1.729721576E-1,-1.531316340E-1
1.739015420E-1,-8.474171162E-1,-1.900163740E-1,-1.776326895E-1
1.763649270E-1,-8.314381838E-1,-2.241048068E-1,-2.117211223E-1
1.788283650E-1,-8.122634292E-1,-2.454100847E-1,-2.458095551E-1
1.812917500E-1,-7.941539288E-1,-2.688458860E-1,-2.713758945E-1
1.837551880E-1,-7.898929119E-1,-2.613890469E-1,-2.809632421E-1
1.862185730E-1,-7.803055048E-1,-2.368879765E-1,-2.639190257E-1
1.886820110E-1,-7.739139795E-1,-1.729721576E-1,-2.287653387E-1
1.911454480E-1,-7.675223947E-1,-8.029423654E-2,-1.744368970E-1
1.936088340E-1,-7.675223947E-1,3.049316816E-2,-1.051947698E-1
1.960722710E-1,-7.632613182E-1,1.625858396E-1,-2.849579975E-2
1.985356560E-1,-7.600654960E-1,3.063964248E-1,5.566002056E-2
2.009990940E-1,-7.611308098E-1,4.459459484E-1,1.376853138E-1
2.034624790E-1,-7.494128942E-1,5.503417850E-1,2.175800800E-1
2.059259170E-1,-7.355644703E-1,5.759080648E-1,2.889527380E-1
2.083893540E-1,-7.259770632E-1,5.620596409E-1,3.507380188E-1
2.108527400E-1,-7.163897157E-1,5.396891236E-1,4.050664604E-1
2.133161770E-1,-7.036065459E-1,5.343627930E-1,4.519380629E-1
2.157795630E-1,-6.833665371E-1,5.205143690E-1,4.870917499E-1
2.182430000E-1,-6.514086723E-1,4.842954278E-1,5.030707121E-1
2.207063860E-1,-6.215812564E-1,4.352933168E-1,5.083970428E-1
2.231698230E-1,-5.949496627E-1,3.735080361E-1,5.126580596E-1
2.256332090E-1,-5.811012387E-1,3.213101029E-1,5.105275512E-1
2.280966460E-1,-5.651223063E-1,2.904174626E-1,5.083970428E-1
2.305600840E-1,-5.406212211E-1,2.637858689E-1,5.083970428E-1
2.330234690E-1,-5.161201954E-1,2.478069216E-1,5.020054579E-1
2.354869060E-1,-4.958801568E-1,2.733732462E-1,4.902875423E-1
2.379502920E-1,-4.777706861E-1,2.882869542E-1,4.838959575E-1
2.404137290E-1,-4.617917240E-1,2.818953693E-1,4.796349108E-1
2.428771150E-1,-4.575306773E-1,2.872216702E-1,4.743085802E-1
2.453405520E-1,-4.564654231E-1,3.063964248E-1,4.732433259E-1
2.478039380E-1,-4.628570080E-1,3.202448487E-1,4.689822793E-1
2.502673750E-1,-4.777706861E-1,3.298322260E-1,4.657864869E-1
2.527308130E-1,-5.075980425E-1,3.500722349E-1,4.583296180E-1
2.551941980E-1,-5.544696450E-1,3.639206588E-1,4.615254104E-1
2.576576360E-1,-6.109286547E-1,3.703122437E-1,4.743085802E-1
2.601210210E-1,-6.780402064E-1,3.969438076E-1,4.849612117E-1
2.625844590E-1,-7.579349875E-1,4.459459484E-1,5.052012205E-1
2.650478440E-1,-8.420908451E-1,4.981438518E-1,5.360938907E-1
2.675112810E-1,-9.294424057E-1,5.535375476E-1,5.723128319E-1
2.699746670E-1,-1.022120357E0,6.153228283E-1,6.159886122E-1
2.724381040E-1,-1.116928816E0,6.717818379E-1,6.671212912E-1
2.749015420E-1,-1.206410885E0,7.154576182E-1,7.193192244E-1
2.773649270E-1,-1.294827819E0,7.633944750E-1,7.683213353E-1
2.798283650E-1,-1.382179379E0,8.209186792E-1,8.109318614E-1
2.822917500E-1,-1.458878398E0,8.592681885E-1,8.535423875E-1
2.847551880E-1,-1.532381535E0,8.848345280E-1,8.908266425E-1
2.872185730E-1,-1.601623654E0,9.253145456E-1,9.174582362E-1
2.896820110E-1,-1.661278486E0,9.572724104E-1,9.398287535E-1
2.921453960E-1,-1.716672182E0,9.625987411E-1,9.579382539E-1
2.946088340E-1,-1.748630047E0,9.807082415E-1,9.611340165E-1
2.970722710E-1,-1.737977386E0,1.047819853E0,9.227845073E-1
2.995356560E-1,-1.609080553E0,1.145824075E0,8.130623698E-1
3.019990940E-1,-1.227716208E0,1.047819853E0,6.266412735E-1
3.044624790E-1,-6.205160022E-1,7.953523993E-1,4.040012062E-1
3.069259170E-1,-1.262337267E-1,7.580681443E-1,2.612558901E-1
3.093893020E-1,6.870950013E-2,8.858997822E-1,2.495379746E-1
3.118527400E-1,6.231791526E-2,9.434239864E-1,3.315632641E-1
3.143161250E-1,-2.663158812E-3,8.060050011E-1,4.668517411E-1
3.167795630E-1,-6.551370770E-2,5.450154543E-1,6.234454513E-1
3.192430000E-1,-1.209074110E-1,2.861564159E-1,7.523423433E-1
3.217063860E-1,-2.008021772E-1,1.412805766E-1,8.247802854E-1
3.241698230E-1,-3.158506453E-1,1.402153075E-1,8.599339724E-1
3.266332090E-1,-4.500738382E-1,1.849563867E-1,8.737823963E-1
3.290966460E-1,-5.885580778E-1,1.988048106E-1,8.705866337E-1
3.315600310E-1,-7.238465548E-1,1.753690094E-1,8.482160568E-1
3.340234690E-1,-8.580697775E-1,1.263668835E-1,8.151929379E-1
3.364868540E-1,-9.912276864E-1,5.819002166E-2,7.736476064E-1
3.389502920E-1,-1.120124578E0,-2.277000807E-2,7.289065719E-1
3.414137290E-1,-1.239434123E0,-1.005342454E-1,6.820349693E-1
3.438771150E-1,-1.354482532E0,-1.878858507E-1,6.362286210E-1
3.463405520E-1,-1.473792076E0,-2.592585087E-1,5.989444256E-1
3.488039380E-1,-1.579253197E0,-2.603237629E-1,5.723128319E-1
3.512673750E-1,-1.666604757E0,-2.336921841E-1,5.563338995E-1
3.537307610E-1,-1.753956437E0,-2.262353450E-1,5.552685857E-1
3.561941980E-1,-1.837046981E0,-2.166479677E-1,5.882917643E-1
3.586575840E-1,-1.924398541E0,-1.836248040E-1,6.500770450E-1
3.611210210E-1,-2.003227949E0,-1.261005700E-1,7.257107496E-1
3.635844590E-1,-2.084187984E0,-5.472791195E-2,8.205192089E-1
3.660478440E-1,-2.166213274E0,8.122634143E-3,9.313066602E-1
3.685112810E-1,-2.245042801E0,7.736476511E-2,1.037832975E0
3.709746670E-1,-2.315350294E0,1.615205854E-1,1.135837197E0
3.734381040E-1,-2.390984058E0,2.339584976E-1,1.225319386E0
3.759014900E-1,-2.477270365E0,2.818953693E-1,1.314801455E0
3.783649270E-1,-2.566752434E0,3.181143105E-1,1.389369965E0
3.808283650E-1,-2.665822029E0,3.607248664E-1,1.452220559E0
3.832917500E-1,-2.769152641E0,4.129227698E-1,1.493765831E0
3.857551880E-1,-2.872483015E0,5.162533522E-1,1.518266797E0
3.882185730E-1,-2.972617865E0,6.408891678E-1,1.534245849E0
3.906820110E-1,-3.080209494E0,7.399587035E-1,1.543833137E0
3.931453960E-1,-3.176083088E0,8.123965859E-1,1.554485798E0
3.956088340E-1,-3.264500141E0,8.592681885E-1,1.560877323E0
3.980722190E-1,-3.340133667E0,8.827039599E-1,1.567268968E0
4.005356560E-1,-3.378483295E0,8.709861040E-1,1.561942697E0
4.029990940E-1,-3.353982210E0,7.878955603E-1,1.525723696E0
4.054624790E-1,-3.257043123E0,6.494112611E-1,1.456481576E0
4.079259170E-1,-3.104710579E0,5.194491148E-1,1.363803625E0
4.103893020E-1,-2.931072474E0,4.384891093E-1,1.239167809E0
4.128527400E-1,-2.776609421E0,4.129227698E-1,1.083639264E0
4.153161250E-1,-2.647712469E0,3.862911761E-1,9.046750665E-1
4.177795630E-1,-2.550773621E0,3.287669420E-1,7.182539105E-1
4.202429480E-1,-2.477270365E0,2.616553605E-1,5.446159840E-1
4.227063860E-1,-2.425072432E0,1.679121703E-1,3.944138288E-1
4.251698230E-1,-2.390984058E0,2.942790464E-2,2.793653607E-1
4.276332090E-1,-2.354764938E0,-1.122521460E-1,2.356895506E-1
4.300966460E-1,-2.322807074E0,-2.411490232E-1,3.209106326E-1
4.325600310E-1,-2.331329107E0,-3.146522045E-1,5.179843903E-1
4.350234690E-1,-2.386723042E0,-3.125216961E-1,7.384939194E-1
4.374868540E-1,-2.464487076E0,-2.848248482E-1,9.430245161E-1
4.399502920E-1,-2.546512365E0,-3.114564121E-1,1.134771943E0
4.424136770E-1,-2.626407146E0,-3.988080323E-1,1.313736200E0
4.448771150E-1,-2.709497690E0,-5.234438777E-1,1.482047915E0
4.473405000E-1,-2.784066200E0,-6.566017866E-1,1.634380579E0
4.498039380E-1,-2.827742100E0,-7.972165942E-1,1.756885886E0
4.522673230E-1,-2.832003117E0,-9.175913930E-1,1.835715413E0
4.547307610E-1,-2.784066200E0,-9.857682586E-1,1.871934295E0
4.571941460E-1,-2.687127352E0,-9.857682586E-1,1.883652210E0
4.596575840E-1,-2.567817688E0,-9.602019191E-1,1.879391193E0
4.621210210E-1,-2.436790228E0,-9.367660880E-1,1.855955362E0
4.645844060E-1,-2.307893515E0,-9.271787405E-1,1.818671107E0
4.670478440E-1,-2.188583851E0,-9.175913930E-1,1.767538548E0
4.695112290E-1,-2.074600697E0,-8.973513842E-1,1.698296428E0
4.719746670E-1,-1.969139576E0,-8.696545362E-1,1.594965816E0
4.744380520E-1,-1.867939591E0,-8.323702812E-1,1.465003610E0
4.769014900E-1,-1.755021691E0,-7.865639329E-1,1.307344675E0
4.793648750E-1,-1.637842655E0,-7.471492290E-1,1.125184655E0
4.818283130E-1,-1.520663738E0,-7.226481438E-1,9.121319056E-1
4.842916980E-1,-1.413072109E0,-6.896249652E-1,6.756433845E-1
4.867551360E-1,-1.316133142E0,-6.470144391E-1,4.242411852E-1
4.892185730E-1,-1.233042479E0,-5.617933273E-1,1.685779542E-1
4.916819590E-1,-1.149951935E0,-4.147869945E-1,-7.004107535E-2
4.941453960E-1,-1.066861391E0,-2.145174444E-1,-3.001379967E-1
4.966087810E-1,-9.890971780E-1,2.729737759E-2,-5.163865089E-1
4.990722190E-1,-9.134634733E-1,2.680469453E-1,-7.145255208E-1
5.015356040E-1,-8.463518620E-1,4.896217585E-1,-9.041424394E-1
5.039990420E-1,-7.803055048E-1,6.909565330E-1,-1.099085689E0
5.064624270E-1,-7.089328766E-1,8.741818666E-1,-1.311073065E0
5.089258650E-1,-6.183854938E-1,1.024384022E0,-1.533713102E0
5.113892500E-1,-5.161201954E-1,1.138367176E0,-1.752092123E0
5.138526880E-1,-4.032022357E-1,1.267264128E0,-1.958753347E0
5.163160730E-1,-2.902843058E-1,1.549558997E0,-2.124934435E0
5.187795110E-1,-2.103895396E-1,1.832919002E0,-2.238917589E0
5.212429480E-1,-1.635179520E-1,1.896834850E0,-2.311355591E0
5.237063340E-1,-1.613874286E-1,1.905357003E0,-2.344378710E0
5.261697710E-1,-1.944105923E-1,1.884051681E0,-2.323073387E0
5.286331560E-1,-2.657832503E-1,1.847832799E0,-2.249570131E0
5.310965940E-1,-3.584611714E-1,1.765807509E0,-2.139847994E0
5.335599790E-1,-4.532696307E-1,1.574059963E0,-2.004559755E0
5.360234170E-1,-5.384907126E-1,1.298156738E0,-1.863944888E0
