"event","experiment time","system time","system time text"
"START",0.000000000E0,1636207626.478,"2021-11-06 15:07:06.478 UTC+01:00"
"PAUSE",6.003825050E1,1636207686.517,"2021-11-06 15:08:06.517 UTC+01:00"
