"event","experiment time","system time","system time text"
"START",0.000000000E0,1636361122.502,"2021-11-08 14:15:22.502 UTC+05:30"
"PAUSE",3.004977216E1,1636361152.552,"2021-11-08 14:15:52.552 UTC+05:30"
