,sensor,gait,trials
0,Accelerometer,normal,"[-1.45587032 -1.4438002  -1.43113731 ... -1.84964439 -1.8423031
 -1.83416625]"
1,Accelerometer,downstairs,[0.71572663 0.64907562 0.52697007 ... 0.99312898 0.90650982 0.81269601]
2,Accelerometer,downstairs,"[-0.05398066 -0.12322872 -0.23433335 ...  1.13826276  1.09787302
  1.04658281]"
3,Accelerometer,upstairs,"[-1.36864674 -1.36567775 -1.35494728 -1.33699995 -1.31204536 -1.27956475
 -1.23828744 -1.18635381 -1.12140416 -1.04061617 -0.94100824 -0.82026975
 -0.67789652 -0.51593736 -0.3387802  -0.15195335  0.03952253  0.23216075
  0.42384759  0.61324614  0.79944327  0.98168121  1.15906322  1.33034663
  1.49384425  1.64739864  1.78840909  1.91396929  2.02116716  2.10734851
  2.17008606  2.2069592   2.21545549  2.19301363  2.13769322  2.0502501
  1.93550738  1.80049487  1.6517277   1.49446903  1.3333033   1.17294629
  1.01861222  0.87539072  0.74724168  0.63641687  0.54324173  0.46606151
  0.40152649  0.3453282   0.29325597  0.24226468  0.19110681  0.14015845
  0.09044939  0.04246639 -0.00450373 -0.05224035 -0.10306919 -0.15942632
 -0.22355518 -0.29718756 -0.38118744 -0.47523342 -0.57773008 -0.68608802
 -0.79703834 -0.90656013 -1.00971723 -1.10095151 -1.17481655 -1.22677362
 -1.2537306  -1.25429292 -1.22888768 -1.17983316 -1.11133971 -1.02922575
 -0.94011593 -0.85040735 -0.76542606 -0.68873455 -0.6214856  -0.56201043
 -0.50587761 -0.44661537 -0.37712257 -0.29137797 -0.18592227 -0.06060734
  0.0819042   0.23766295  0.40291012  0.57476791  0.75117065  0.93044826
  1.11102796  1.29131402  1.4694373   1.64286173  1.80816787  1.96113864
  2.09703109  2.21093873  2.29814616  2.35428506  2.37512193  2.35720506
  2.30086258  2.21194229  2.09849587  1.96687543  1.82147586  1.66608226
  1.50509533  1.34409676  1.18893551  1.04419074  0.91240381  0.79409918
  0.68813971  0.59228395  0.50388679  0.4206381   0.34113342  0.26497689
  0.1922917   0.12295003  0.05605851 -0.01007614 -0.07766621 -0.14902966
 -0.2261806  -0.31058707 -0.4030711  -0.50369753 -0.61162205 -0.72496569
 -0.840853   -0.95564756 -1.06515626 -1.16466341 -1.24902682 -1.31315333
 -1.35276208 -1.36500971 -1.34878935 -1.30485714 -1.23605695 -1.14763482
 -1.04705647 -0.94299771 -0.84400679 -0.75726597 -0.68738012 -0.635205
 -0.59705071 -0.56480333 -0.52763956 -0.47532191 -0.40141974 -0.30445741
 -0.18682045 -0.05272038  0.09364914  0.24923509  0.41237842  0.58237211
  0.75871949  0.94049576  1.1259845   1.31247528  1.49616332  1.67226569
  1.83536696  1.97985245  2.10024811  2.19134479  2.2480384   2.26526943
  2.23957942  2.17200013  2.06842205  1.93674929  1.78442722  1.61758015
  1.44136731  1.26119741  1.08328407  0.91387539  0.75815409  0.61956024
  0.49948602  0.39730229  0.31077413  0.23674927  0.17194296  0.11361915
  0.05987283  0.00931275 -0.03957191 -0.08878982 -0.14078663 -0.1981059
 -0.26292757 -0.3367532  -0.42037208 -0.51382556 -0.61619146 -0.72542729
 -0.83852651 -0.95181254 -1.0609864  -1.16106116 -1.2466724  -1.31278821
 -1.35540649 -1.37192105 -1.36126339 -1.324269   -1.26433049 -1.18767036
 -1.10266951 -1.01853059 -0.94387924 -0.88550025 -0.84718936 -0.82884693
 -0.82609813 -0.83090928 -0.83353437 -0.82523577 -0.80045003 -0.7574809
 -0.69785378 -0.62502935 -0.5430956  -0.45582432 -0.36614147 -0.27574174
 -0.18484441 -0.09242266  0.00310146  0.10311517  0.20839876  0.31905695
  0.43455163  0.55370467  0.67471249  0.79514988  0.91188962  1.0209727
  1.117554    1.19599379  1.25005772  1.27320435  1.25915198  1.20295116
  1.10217218  0.95738444  0.77193366  0.5518018   0.3056082   0.04394297
 -0.22223224 -0.48341334 -0.73277517 -0.96610789 -1.18033069 -1.37178407
 -1.53590774 -1.66868366 -1.7687667  -1.83846201 -1.88257391 -1.90601633
 -1.91191048 -1.90157032 -1.87619244 -1.83818286 -1.79079952 -1.73705269
 -1.67912268 -1.61845853 -1.55621656 -1.49369579 -1.43246441 -1.37415547
 -1.32027203 -1.27226278 -1.23168716 -1.2001115  -1.17868726 -1.16773941
 -1.16670467 -1.17443531 -1.18963278 -1.21125587 -1.23893916 -1.27335646
 -1.3161061  -1.36878419 -1.43171577 -1.50335462 -1.58084142 -1.66110971
 -1.74141177 -1.81888953 -1.88985722 -1.94954276 -1.99261699 -2.01442
 -2.01223045 -1.98574179 -1.93646206 -1.86650614 -1.77753886 -1.67041472
 -1.54563157 -1.40412782 -1.2477146  -1.07895225 -0.90077312 -0.71612251
 -0.52777293 -0.33837605 -0.15060301  0.03280964  0.20901139  0.37477506
  0.52604962  0.65757043  0.76274347  0.83398064  0.86363271  0.84537147
  0.77553673  0.6539372   0.48391227  0.27207071  0.02817216 -0.23527776
 -0.50456726 -0.7673892  -1.01508094 -1.24275083 -1.44720321 -1.62477936
 -1.77139579 -1.88472973 -1.96625027 -2.02097194 -2.05490242 -2.07216592
 -2.07411676 -2.06084439 -2.03312257 -1.99292473 -1.94272472 -1.88493567
 -1.82192596 -1.75605119 -1.68948637 -1.62415815 -1.56185079 -1.50431352
 -1.45330229 -1.41055971 -1.37770458 -1.35603827 -1.34633476 -1.34871204
 -1.36267873 -1.38734498 -1.42167922 -1.46472113 -1.51572621 -1.57416469
 -1.63947899 -1.71080748 -1.78700596 -1.86678196 -1.94855774 -2.03015425
 -2.10855548 -2.17982987 -2.23923482 -2.28136829 -2.30022322 -2.28961746
 -2.24451    -2.16243553 -2.04374975 -1.89062314 -1.705785   -1.49182034
 -1.25118896 -0.98657561 -0.70105411 -0.3980768  -0.08155116  0.24408608
  0.57388579  0.90237201  1.22360173  1.53149974  1.82030468  2.08483024
  2.32056292  2.5237787   2.69166485  2.82226397  2.9141374   2.96595149
  2.97636467  2.94424825  2.86925455  2.75385248  2.60588081  2.43685106
  2.25680205  2.0724862   1.88917415  1.71170855  1.54393648  1.38767114
  1.24214707  1.10460225  0.97170703  0.84088451  0.71095213  0.58218264
  0.45600816  0.33449741  0.2197915   0.11368263  0.01730842 -0.06906669
 -0.14603195 -0.21482626 -0.27721291 -0.33538362 -0.39172757 -0.44861505
 -0.50815749 -0.57167938 -0.63916245 -0.7091557  -0.779199   -0.84641372
 -0.90787372 -0.9607768  -1.00270121 -1.03188894 -1.04732521 -1.0486898
 -1.03634898 -1.01145662 -0.9761697  -0.93373489 -0.88815629 -0.84347518
 -0.80282989 -0.76749001 -0.73615515 -0.7047633  -0.66700434 -0.61568145
 -0.54462286 -0.4502982  -0.33240268 -0.19333903 -0.03703818  0.13237173
  0.31167383  0.49904389  0.69366696  0.89487145  1.10141602  1.31117522
  1.52110235  1.72735756  1.92560009  2.11137585  2.28039284  2.42849238
  2.55141561  2.64466223  2.70339588  2.72261824  2.69906755  2.63420217
  2.53411956  2.40612894  2.25634709  2.08958829  1.91025754  1.72346005
  1.53516343  1.35121103  1.17641165  1.01423863  0.86677253  0.73466935
  0.61722117  0.51267531  0.41887498  0.33398512  0.25688985  0.18695205
  0.12324279  0.0638597   0.00593974 -0.05365093 -0.1174866  -0.18704268
 -0.26246028 -0.34258418 -0.42535592 -0.50831611 -0.58879906 -0.66386938
 -0.73036354 -0.78519568 -0.8258289  -0.85070387 -0.85939985 -0.85245864
 -0.8312585  -0.79833356 -0.75762911 -0.71397445 -0.67200295 -0.63506651
 -0.60425129 -0.57751815 -0.54929997 -0.51122015 -0.45434823 -0.3720788
 -0.26183644 -0.12499874  0.0341347   0.20967208  0.39556902  0.586798
  0.77986658  0.97264925  1.16372231  1.35158452  1.53414197  1.70852372
  1.87115523  2.01798822  2.14472252  2.24696358  2.32033576  2.36046789
  2.36287333  2.32419306  2.24550248  2.1333212   1.99612873  1.84125573
  1.67452388  1.50104584  1.32626072  1.15614874  0.99640963  0.85147587
  0.72366743  0.61266272  0.51576842  0.42902052  0.34854334  0.27160057
  0.19704179  0.12508367  0.05648275 -0.00858537 -0.07122626 -0.13367605
 -0.19859749 -0.26834384 -0.34456593 -0.42824048 -0.51978739 -0.61891439
 -0.7242137  -0.83283711 -0.94052493 -1.0420078  -1.13167701 -1.20431794
 -1.25566279 -1.28279182 -1.28447489 -1.26141272 -1.21639584 -1.15420466
 -1.08098043 -1.0032051  -0.92659598 -0.855108   -0.79019891 -0.73041892
 -0.67141422 -0.60665525 -0.52905924 -0.43294032 -0.31533025 -0.17631012
 -0.01853715  0.15384699  0.33643638  0.5253133   0.71733833  0.91010304
  1.10153009  1.28948487  1.47165632  1.64542717  1.80763286  1.95452787
  2.0821107   2.18656151  2.26448861  2.31290617  2.32892499  2.30974913
  2.25449269  2.1664742   2.05216593  1.91814077  1.76974652  1.61115044
  1.44614206  1.27936543  1.1163828   0.96258717  0.8221373   0.69731019
  0.5881809   0.49262602  0.40690764  0.32692108  0.24955606  0.17341762
  0.09858276  0.02559524 -0.04561983 -0.11623814 -0.1883757  -0.26461513
 -0.34746885 -0.43896224 -0.54031852 -0.65160328 -0.77143433 -0.89698387
 -1.02420991 -1.14809484 -1.26291641 -1.36271096 -1.44191993 -1.49601533
 -1.52184213 -1.51772666 -1.48372505]"
4,Accelerometer,upstairs,"[-2.12691044 -2.19276014 -2.2325954  ... -1.54286535 -1.6460749
 -1.73187294]"
5,Accelerometer,normal,"[-1.48280175 -1.47347504 -1.46360537 ... -1.49174301 -1.47926578
 -1.46612312]"
