,sensor,gait,trials
10,Accelerometer,downstairs,"[,0.87390426,0.97342088,1.05321601,...,0.1766758,0.06547412,-0.04280502]"
11,Accelerometer,downstairs,"[-1.67340662,-1.6571152,-1.63964879,...,-1.76388645,-1.78583258,-1.80603177]"
12,Accelerometer,upstairs,"[-1.56452916,-1.49624697,-1.41601748,...,-1.4737837,-1.48848904,-1.47583327]"
13,Accelerometer,downstairs,"[-1.22183337,-1.20063614,-1.17823877,...,-0.68307285,-0.65136796,-0.61884988]"
14,Accelerometer,upstairs,"[-2.07152987,-2.05958465,-2.04728827,...,-1.32907269,-1.31851787,-1.30757586]"
15,Accelerometer,normal,"[0.78001815,0.73322973,0.68554115,...,2.21781498,2.19024006,2.16012207]"
16,Accelerometer,normal,"[-0.27899306,0.06419071,0.38453442,...,1.5499944,1.64180591,1.73136579]"
17,Accelerometer,downstairs,"[2.24041334,2.25417395,2.26721116,...,3.77582459,3.7907451,3.80437379]"
18,Accelerometer,Normal,"[-0.55638935,-0.57289295,-0.58893616,...,3.85269752,3.86481371,3.87260683]"
19,Accelerometer,downstairs,"[-0.66293672,-0.6128148,-0.55776555,-0.4970781,-0.4300661,-0.35587851,-0.27339068,-0.18123629,-0.07791711,0.03801393,0.16768648,0.31166289,0.46977082,0.64099829,0.82349883,1.01475126,1.21179191,1.41142819,1.61041537,1.80559539,1.99399994,2.17293747,2.34007786,2.49352612,2.63187112,2.75420779,2.86013894,2.94976602,3.02367435,3.0828949,3.12879621,3.16287285,3.1864667,3.20052052,3.20543766,3.20104374,3.18662042,3.16101474,3.12283452,3.07069587,3.00345638,2.92037985,2.82119895,2.7060778,2.57552872,2.43033105,2.27144856,2.09993517,1.91684101,1.72314515,1.51976474,1.30767335,1.0880736,0.86251655,0.6329181,0.40151905,0.17088066,-0.0560491,-0.27590717,-0.48511685,-0.68034136,-0.85890426,-1.01884662,-1.15858654,-1.27650081,-1.37089254,-1.44048194,-1.4849842,-1.50523593,-1.5027762,-1.47924248,-1.43605307,-1.37452345,-1.29613384,-1.20264031,-1.09600709,-0.97829102,-0.85158295,-0.7180402,-0.57995704,-0.43977967,-0.30002134,-0.16311843,-0.03130599,0.09344515,0.20943628,0.31522244,0.40960041,0.49161555,0.56056315,0.61594835,0.65740976,0.68467113,0.69757503,0.69617718,0.68085703,0.65239536,0.61190386,0.5605627,0.49936446,0.42908659,0.35047583,0.2644832,0.17242377,0.07605272,-0.02237313,-0.12004084,-0.21360448,-0.29929487,-0.37303108,-0.43054344,-0.46768902,-0.48103265,-0.46842768,-0.42922786,-0.36407856,-0.27458008,-0.16308973,-0.03266719,0.11297257,0.26957209,0.43249126,0.596897,0.7579917,0.91126095,1.05268496,1.17886277,1.2870438,1.37510764,1.44153517,1.48538515,1.50627183,1.50433574,1.48020318,1.43492985,1.36991388,1.2867822,1.18729288,1.07329478,0.94674419,0.80971987,0.66433309,0.51250073,0.35571223,0.19496748,0.03095,-0.13561098,-0.30349776,-0.47064772,-0.63406925,-0.79012314,-0.93502951,-1.06526303,-1.1777043,-1.2698146,-1.33992744,-1.38729301,-1.41174157,-1.41327579,-1.39181396,-1.3471679,-1.27934964,-1.18911769,-1.07844851,-0.95065936,-0.81014775,-0.6618931,-0.51088496,-0.36160153,-0.21766972,-0.08181166,0.04399192,0.15835712,0.26048981,0.35014776,0.42740237,0.49229623,0.54458063,0.58362602,0.60849197,0.61805732,0.61120956,0.58720377,0.54604688,0.48855143,0.41604889,0.33008824,0.23232805,0.12466796,0.00956033,-0.1097107,-0.22896974,-0.34332761,-0.44755535,-0.53656629,-0.60583205,-0.65164482,-0.67126468,-0.6629717,-0.62604979,-0.56076824,-0.46835852,-0.3509211,-0.2112604,-0.05273565,0.12079838,0.30500011,0.49511703,0.6861819,0.87325725,1.05163558,1.21697747,1.36540888,1.49359185,1.59877579,1.67883645,1.73230757,1.7584103,1.75707525,1.72892779,1.67520534,1.59763535,1.49836656,1.38001138,1.24571775,1.09908862,0.9438303,0.78319965,0.61947119,0.45364054,0.28548394,0.11403845,-0.0615268,-0.24095564,-0.42237398,-0.60241132,-0.77678922,-0.94110111,-1.09148284,-1.22491446,-1.33915216,-1.43244274,-1.50328779,-1.55062413,-1.57432356,-1.57531371,-1.55503416,-1.51484397,-1.45590388,-1.37934125,-1.2863843,-1.1784393,-1.05716474,-0.92453118,-0.78287087,-0.63494429,-0.483957,-0.33344879,-0.18713468,-0.04879393,0.0778489,0.18934685,0.28285969,0.35647702,0.40936107,0.44162585,0.45405467,0.44783061,0.4243631,0.38518211,0.33184121,0.26582819,0.18852586,0.10123075,0.00521966,-0.09810386,-0.20695385,-0.31888034,-0.43064985,-0.53835364,-0.63760061,-0.72372082,-0.79207583,-0.8384997,-0.85972685,-0.85363896,-0.81927743,-0.75671274,-0.6669234,-0.55175813,-0.4139159,-0.25684066,-0.08451801,0.09873867,0.28843948,0.48003431,0.66904848,0.8512253,1.02263584,1.17974779,1.31946415,1.43914087,1.53659285,1.61010113,1.65843047,1.68084687,1.67710795,1.6474116,1.5923175,1.51267393,1.40959806,1.28456772,1.13962775,0.97758591,0.80199258,0.61678697,0.42571803,0.23185004,0.03742877,-0.15590824,-0.3468164,-0.5339805,-0.71590845,-0.89084284,-1.0568703,-1.21203692,-1.35417908,-1.48067362,-1.58869612,-1.67599228,-1.74137798,-1.78450203,-1.80527595,-1.80354504,-1.77918382,-1.73244092,-1.66420306,-1.57599387,-1.46981414,-1.34800345,-1.21316257,-1.06809234,-0.91572826,-0.75907918,-0.6011883,-0.44510886,-0.29384738,-0.15025238,-0.01689929,0.10394947,0.21029595,0.30035242,0.37254201,0.42551289,0.45811853,0.46941603,0.4587725,0.42604366,0.37169716,0.29684808,0.20325123,0.09326029,-0.03025712,-0.16404526,-0.30456228,-0.44795369,-0.58993904,-0.72581958,-0.85069666,-0.95975852,-1.04852487,-1.11311422,-1.15052878,-1.15878819,-1.13687206,-1.08462357,-1.00271672,-0.89267328,-0.75688477,-0.59858701,-0.42174247,-0.23085503,-0.03079282,0.17335324,0.37640845,0.57328403,0.75917999,0.92978692,1.08142486,1.21108177,1.31637855,1.3955127,1.44720185,1.47063034,1.46540903,1.43155637,1.36950144,1.28011084,1.16474382,1.02533057,0.86441884,0.68508294,0.49063711,0.28425201,0.06868002,-0.15378181,-0.38111425,-0.61128988,-0.842026,-1.07070657,-1.29443487,-1.51004047,-1.71404187,-1.90279178,-2.072816,-2.22112702,-2.34552051,-2.4447915,-2.51850059,-2.56649781,-2.5888632,-2.58606938,-2.5587505,-2.50730173,-2.43188153,-2.3328117,-2.21101979,-2.06827203,-1.90712238,-1.73072163,-1.5427626,-1.34758131,-1.15005169,-0.95510487,-0.76727357,-0.59062889,-0.42890322,-0.28542231,-0.16287076,-0.06319636,0.01226514,0.06265994,0.08762005,0.08731192,0.06239849,0.01389359,-0.0570284,-0.14917903,-0.26137414,-0.39229947,-0.5402824,-0.70312444,-0.87815239,-1.06237366,-1.25243321,-1.44438219,-1.63360356,-1.81509758,-1.98397635,-2.13586347,-2.26705726,-2.37455161,-2.45603856,-2.50992498,-2.53534686]"
