"event","experiment time","system time","system time text"
"START",0.000000000E0,1636388724.895,"2021-11-08 17:25:24.895 UTC+01:00"
"PAUSE",4.426177092E1,1636388769.083,"2021-11-08 17:26:09.083 UTC+01:00"
