"event","experiment time","system time","system time text"
"START",0.000000000E0,1636389479.119,"2021-11-08 17:37:59.119 UTC+01:00"
"PAUSE",7.273330450E1,1636389551.852,"2021-11-08 17:39:11.852 UTC+01:00"
