"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636480881786305E9,"2021-11-09 19:01:21.786 UTC+01:00"
"PAUSE",4.148583487500036E1,1.636480923271342E9,"2021-11-09 19:02:03.271 UTC+01:00"
