"event","experiment time","system time","system time text"
"START",0.000000000E0,1636487884.744,"2021-11-09 20:58:04.744 UTC+01:00"
"PAUSE",3.005491098E1,1636487914.799,"2021-11-09 20:58:34.799 UTC+01:00"
