"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636372320515101E9,"2021-11-08 12:52:00.515 UTC+01:00"
"PAUSE",5.249180620833067E1,1.636372373007184E9,"2021-11-08 12:52:53.007 UTC+01:00"
