"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.344291672E-3,-1.948947144E-1,9.947414246E0,1.575174408E0
1.232329167E-2,-1.495390320E-1,9.774673462E0,1.570234680E0
2.233329166E-2,-9.954299927E-2,9.653126221E0,1.597328339E0
3.234229167E-2,-7.813751221E-2,9.612410889E0,1.572779388E0
4.235229167E-2,-8.996292114E-2,9.630373535E0,1.538500671E0
5.233129168E-2,-8.367599487E-2,9.647887115E0,1.535357208E0
6.234129168E-2,-8.592132568E-2,9.652976532E0,1.514251099E0
7.235129167E-2,-1.037342834E-1,9.668993225E0,1.496737518E0
8.236129167E-2,-1.236428833E-1,9.692793732E0,1.469494171E0
9.237029168E-2,-1.290316772E-1,9.719138947E0,1.448238373E0
1.023802917E-1,-1.254391479E-1,9.745933228E0,1.428030396E0
1.123902917E-1,-1.026864624E-1,9.744885406E0,1.425785065E0
1.224002917E-1,-9.385482788E-2,9.733209686E0,1.426683197E0
1.324102917E-1,-8.217910767E-2,9.721683655E0,1.427880707E0
1.424192917E-1,-6.735992432E-2,9.718091125E0,1.435215454E0
1.524292917E-1,-5.074447632E-2,9.717043304E0,1.429676971E0
1.624392917E-1,-4.281097412E-2,9.713750153E0,1.428030396E0
1.724492917E-1,-3.128494263E-2,9.713899841E0,1.424288177E0
1.824582917E-1,-1.122665405E-2,9.711804199E0,1.412612457E0
1.924682917E-1,-6.286926270E-3,9.700577545E0,1.403780823E0
2.024782917E-1,4.640350342E-3,9.689949646E0,1.383273468E0
2.124882917E-1,1.062789917E-2,9.693242798E0,1.399589539E0
2.224972917E-1,9.580078125E-3,9.716145172E0,1.415905609E0
2.325072917E-1,-1.646575928E-3,9.734856262E0,1.437760162E0
2.425172917E-1,-1.437011719E-2,9.746232605E0,1.447639618E0
2.525272917E-1,-3.921844482E-2,9.718240814E0,1.450483704E0
2.625062917E-1,-5.164260864E-2,9.691446533E0,1.452878723E0
2.725162917E-1,-6.256988525E-2,9.674082642E0,1.450633392E0
2.825252917E-1,-5.837860107E-2,9.678124237E0,1.472188568E0
2.925352917E-1,-6.391708374E-2,9.680070190E0,1.486708374E0
3.025452917E-1,-5.927673340E-2,9.698032837E0,1.504671021E0
3.125552917E-1,-5.149291992E-2,9.709858246E0,1.486109619E0
3.225652917E-1,-4.894821167E-2,9.712852020E0,1.459914093E0
3.325742917E-1,-4.131408691E-2,9.714049530E0,1.445993042E0
3.425842917E-1,-3.832031250E-2,9.722581787E0,1.424437866E0
3.525942917E-1,-2.799179077E-2,9.722432098E0,1.425934753E0
3.626042917E-1,-2.245330811E-3,9.715845795E0,1.421893158E0
3.726132917E-1,2.170486450E-2,9.727970581E0,1.442849579E0
3.826232917E-1,4.535568237E-2,9.728419647E0,1.450783081E0
3.926332917E-1,5.927673340E-2,9.708211670E0,1.442101135E0
4.026432917E-1,7.753875732E-2,9.697284393E0,1.427132263E0
4.126522917E-1,8.652008057E-2,9.709259491E0,1.429078217E0
4.226622917E-1,8.637039185E-2,9.726623383E0,1.418749695E0
4.326722917E-1,8.816665649E-2,9.735305328E0,1.412762146E0
4.426822917E-1,1.038839722E-1,9.736353149E0,1.417252808E0
4.526912917E-1,1.184037781E-1,9.752818909E0,1.405726776E0
