"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.560402083E-1,-2.018131495E0,-2.166480303E0,-5.932316780E-1
8.660272083E-1,-2.187623978E0,-2.232243299E0,-1.026669383E0
8.760142083E-1,-2.219683409E0,-2.368917227E0,-1.344450831E0
8.860002083E-1,-2.147350550E0,-2.558767080E0,-1.526286483E0
8.959872083E-1,-2.094767809E0,-2.485674143E0,-1.574478984E0
9.059732083E-1,-2.193989754E0,-1.911983967E0,-1.439195156E0
9.159602083E-1,-2.515112638E0,-1.074416637E0,-1.124607921E0
9.259472083E-1,-3.043129683E0,-2.587934434E-1,-7.824687958E-1
9.359332083E-1,-3.701694489E0,4.304076135E-1,-5.098775029E-1
9.459202083E-1,-4.386649132E0,8.290506005E-1,-2.915579379E-1
9.559072083E-1,-4.989249706E0,9.363703132E-1,-1.387538165E-1
9.658932083E-1,-5.435273647E0,8.967459798E-1,-5.641419813E-2
9.758802083E-1,-5.683632851E0,7.832069993E-1,-7.817702740E-2
9.858672083E-1,-5.721312523E0,4.018508196E-1,-1.931315809E-1
9.958532083E-1,-5.574664116E0,-1.266373396E-1,-4.052374661E-1
1.005840208E0,-5.250096798E0,-4.998841584E-1,-6.358467340E-1
1.015827208E0,-4.059553146E0,-1.043651775E-1,-6.373996735E-1
1.025813208E0,-2.805181265E0,7.848159969E-2,-6.264780164E-1
1.035800208E0,-1.920338035E0,-7.954619080E-2,-5.423797369E-1
1.045787208E0,-1.536305189E0,-4.593236446E-1,-5.933462977E-1
1.055773208E0,-1.422016263E0,-6.794908643E-1,-8.265781403E-1
1.065760208E0,-1.166638613E0,-1.347681880E-1,-1.089522123E0
1.075747208E0,-6.269816756E-1,-3.937176764E-1,-1.155027032E0
1.085733208E0,-4.002471268E-2,-8.366317153E-1,-1.238224626E0
1.095720208E0,5.397426486E-1,-1.009855628E0,-1.418772101E0
1.105707208E0,9.711850882E-1,-1.319989681E0,-1.617429018E0
1.115693208E0,1.162138820E0,-1.673960686E0,-1.823718905E0
1.125680208E0,1.074685693E0,-1.886402607E0,-1.964262128E0
1.135667208E0,7.554856539E-1,-2.095016241E0,-1.945727229E0
1.145653208E0,2.987093329E-1,-2.077660799E0,-1.817529559E0
1.155640208E0,-1.628549546E-1,-1.634313941E0,-1.575261474E0
1.165627208E0,-5.031203628E-1,-1.303893685E0,-1.207685947E0
1.175613208E0,-8.632582426E-1,-9.985622764E-1,-7.765865326E-1
1.185600208E0,-1.489064455E0,-8.460662365E-1,-1.655841470E-1
1.195587208E0,-2.121945858E0,-3.707321584E-1,3.279738873E-2
1.205573208E0,-2.930664778E0,-4.579828978E-1,2.945618890E-2
1.215560208E0,-3.712046146E0,-3.943651617E-1,-2.269122750E-1
1.225546208E0,-4.332509041E0,-4.367557466E-1,-6.124802232E-1
1.235533208E0,-4.713770390E0,-4.332183599E-1,-9.911575913E-1
1.245520208E0,-4.803457260E0,-4.349781871E-1,-1.106524944E0
1.255506208E0,-4.674844265E0,-1.256411970E-1,-8.498343229E-1
1.265493208E0,-4.425082207E0,3.768706620E-1,-4.103027880E-1
1.275480208E0,-3.711438417E0,2.294832170E-1,-1.818552464E-1
1.285466208E0,-3.322800875E0,-2.481896132E-1,6.505785882E-2
1.295453208E0,-3.208627224E0,-4.059948623E-1,2.553439438E-1
1.305440208E0,-2.905746222E0,-4.011196792E-1,1.693699211E-1
1.315426208E0,-2.609035015E0,-7.004513144E-1,-3.185699508E-2
1.325413208E0,-2.398524046E0,-1.090914130E0,-3.869386613E-1
1.335400208E0,-2.329735279E0,-1.475164771E0,-7.837272286E-1
1.345386208E0,-2.386365652E0,-1.757472157E0,-1.224795461E0
1.355373208E0,-2.454387665E0,-1.817541242E0,-1.643204331E0
1.365360208E0,-2.354473829E0,-1.455668449E0,-1.971804023E0
1.375346208E0,-2.288402557E0,-7.239254117E-1,-2.206114292E0
1.385333208E0,-2.025121212E0,-3.777714968E-1,-2.487384081E0
1.395320208E0,-1.893025756E0,-4.616356790E-1,-2.725404501E0
1.405306208E0,-1.928606153E0,-5.393496752E-1,-2.980688572E0
1.415293208E0,-2.038029909E0,-6.389815807E-1,-3.128360987E0
