"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.255477500E-1,-8.454251885E-1,-1.918741465E0,-6.118708253E-1
8.355677500E-1,-9.093983173E-1,-1.833121061E0,-6.117156744E-1
8.455867500E-1,-9.493220448E-1,-1.611434460E0,-5.642884970E-1
8.556057500E-1,-9.825692177E-1,-1.344356298E0,-4.312925637E-1
8.656257500E-1,-1.018472075E0,-1.123800993E0,-2.285999060E-1
8.756447500E-1,-1.044394970E0,-9.667855501E-1,-3.079967946E-2
8.856637500E-1,-1.046965241E0,-8.812157512E-1,9.535665810E-2
8.956837500E-1,-1.032321811E0,-9.828153849E-1,1.459156275E-1
9.057027500E-1,-9.849779606E-1,-1.008319974E0,8.576972038E-2
9.157217499E-1,-9.614748955E-1,-8.787124753E-1,-7.053783536E-2
9.257407500E-1,-1.013594747E0,-9.630268216E-1,-1.001585796E-1
9.357607500E-1,-1.045882463E0,-9.205617309E-1,-6.773972511E-2
9.457797499E-1,-1.058883190E0,-7.661018372E-1,-7.012352347E-2
9.557987500E-1,-1.081899285E0,-6.673254371E-1,-7.944617420E-2
9.658187500E-1,-1.106408954E0,-6.223931313E-1,-8.222225308E-2
9.758377500E-1,-1.125770688E0,-6.153113246E-1,-1.110086814E-1
9.858567500E-1,-1.180145025E0,-6.290319562E-1,-1.465570927E-1
9.958767500E-1,-1.266556144E0,-5.578676462E-1,-1.429678351E-1
1.005895750E0,-1.362459302E0,-3.939095438E-1,-9.614919126E-2
1.015914750E0,-1.455916047E0,-2.007222474E-1,-3.579770401E-2
1.025933750E0,-1.524312615E0,4.456735682E-3,3.028144687E-2
1.035953750E0,-1.488133550E0,4.086516201E-1,7.397221029E-2
1.045972750E0,-1.392729044E0,7.589371800E-1,1.252172887E-1
1.055991750E0,-1.430101752E0,3.286758363E-1,1.839301437E-1
1.066011750E0,-1.367694020E0,2.384140939E-1,2.336500287E-1
1.076030750E0,-1.259014606E0,3.704331219E-1,3.262957931E-1
1.086049750E0,-1.212043166E0,3.263985515E-1,3.547093272E-1
1.096068750E0,-1.200772882E0,2.246212214E-1,3.046164513E-1
1.106088750E0,-1.193559170E0,2.403807342E-1,2.423120588E-1
1.116107750E0,-1.208497763E0,3.447077572E-1,1.977293193E-1
1.126126750E0,-1.233899236E0,5.108613372E-1,1.745864451E-1
1.136146750E0,-1.227491975E0,7.250405550E-1,1.733438522E-1
1.146165750E0,-1.138118744E0,9.119982123E-1,1.871110499E-1
1.156184750E0,-9.448760748E-1,8.528205752E-1,1.685743332E-1
1.166204750E0,-6.749271154E-1,4.205578268E-1,-5.761753023E-2
1.176223750E0,-2.976764143E-1,-7.883757353E-2,-6.344232559E-1
1.186242750E0,1.927098036E-1,-7.214293480E-1,-1.137380600E0
1.196261750E0,6.776409745E-1,-1.647308230E0,-1.573823094E0
1.206281750E0,1.050629258E0,-1.800604582E0,-1.901159883E0
1.216300750E0,1.361102104E0,-9.601942301E-1,-1.769638419E0
1.226319750E0,1.561046600E0,8.157286793E-2,-1.223469377E0
1.236339750E0,1.567786694E0,1.225806355E0,-6.470738649E-1
1.246358750E0,1.483083248E0,2.252741098E0,-1.561025232E-1
1.256377750E0,1.343925595E0,2.366698027E0,6.322062761E-2
1.266397750E0,1.144474506E0,1.676470399E0,1.039851010E-1
1.276416750E0,9.817315340E-1,6.685476899E-1,1.539669633E-1
1.286435750E0,8.909052014E-1,-3.160873950E-1,2.430308014E-1
1.296454750E0,7.704997659E-1,-9.229538441E-1,2.118848413E-1
1.306474750E0,6.300196052E-1,-1.029153824E0,1.194108427E-1
1.316493750E0,3.802357614E-1,-6.428658962E-1,2.955686860E-2
1.326512750E0,1.286335289E-2,-7.184474915E-2,-1.121478006E-1
1.336532750E0,-4.188298285E-1,4.376330972E-1,-1.536294222E-1
1.346551750E0,-7.842538357E-1,7.886601090E-1,-1.103149801E-1
1.356570750E0,-9.827412963E-1,7.872425318E-1,-2.984426729E-2
1.366589750E0,-9.252814651E-1,3.737089932E-1,6.021958217E-2
1.376609750E0,-6.209129691E-1,-2.419519126E-1,7.476189733E-2
1.386628750E0,-2.015405335E-3,-9.811380506E-1,-4.657332227E-2
1.396647750E0,7.058104277E-1,-1.315744996E0,-2.830754519E-1
1.406667750E0,1.346249223E0,-1.347971320E0,-4.410014451E-1
1.416686750E0,1.874594212E0,-1.097990870E0,-4.982271791E-1
1.426705750E0,2.256812811E0,-6.451221108E-1,-4.716927707E-1
1.436727708E0,2.123674154E0,4.627293646E-1,-4.593168795E-1
1.446747708E0,1.748614311E0,9.093667865E-1,-2.346651256E-1
1.456766708E0,1.236612916E0,1.158083200E0,2.676343322E-1
1.466785708E0,6.542512178E-1,9.788602591E-1,6.661841273E-1
1.476805708E0,1.150050908E-1,5.293533802E-1,8.109682202E-1
1.486824708E0,-2.881168127E-1,1.179983318E-1,7.980793118E-1
1.496843708E0,-5.386212468E-1,-1.255652905E-1,6.952020526E-1
1.506863708E0,-6.563915610E-1,-1.413437128E-1,5.304213762E-1
1.516882708E0,-6.929661036E-1,5.547580123E-2,3.297510147E-1
1.526901708E0,-6.978346109E-1,3.348896205E-1,1.730996370E-1
1.536920708E0,-7.012907267E-1,5.146164298E-1,1.102162302E-1
1.546940708E0,-6.986315846E-1,5.039331317E-1,1.129041612E-1
1.556959708E0,-6.672165990E-1,3.534643352E-1,1.976875514E-1
1.566978708E0,-5.978471041E-1,2.374202907E-1,3.802967668E-1
1.576998708E0,-4.628749490E-1,7.877656072E-2,5.844049454E-1
1.587017708E0,-2.611570060E-1,-1.119451821E-1,6.793172956E-1
1.597036708E0,-3.863216564E-2,-2.776584029E-1,6.364257932E-1
1.607055708E0,1.673375070E-1,-4.204296768E-1,4.819560647E-1
1.617075708E0,3.305685222E-1,-4.261267185E-1,2.961488962E-1
1.627094708E0,4.283315539E-1,-3.738358021E-1,1.670282185E-1
1.637113708E0,4.509108663E-1,-3.342677951E-1,1.225932464E-1
1.647133708E0,4.309600592E-1,-3.663362265E-1,1.479923576E-1
1.657152708E0,3.898782730E-1,-5.425221324E-1,1.484668851E-1
1.667171708E0,3.726412058E-1,-8.497169614E-1,6.675364822E-2
1.677191708E0,3.692995608E-1,-1.174709439E0,-3.128227219E-2
1.687210708E0,3.999783695E-1,-1.357806563E0,-5.590692535E-2
1.697229708E0,4.498458505E-1,-1.308928251E0,-2.497256733E-2
1.707248708E0,4.675596058E-1,-1.038841486E0,1.209091209E-2
1.717268708E0,4.615279138E-1,-6.682001948E-1,1.080430951E-2
1.727287708E0,4.425060153E-1,-3.129814267E-1,1.064212248E-2
1.737306708E0,4.679559767E-1,-1.357579082E-1,2.344180830E-2
