"event","experiment time","system time","system time text"
"START",0.000000000E0,1636360606.042,"2021-11-08 14:06:46.042 UTC+05:30"
"PAUSE",3.004668044E1,1636360636.089,"2021-11-08 14:07:16.089 UTC+05:30"
