"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.363499952E-3,-2.700833588E0,-1.079974182E1,1.369651794E-1
1.235750003E-2,-2.706372070E0,-1.076980408E1,-3.394940186E-1
2.235049999E-2,-2.683918762E0,-1.091125992E1,-6.414161682E-1
3.234350006E-2,-2.797233124E0,-1.115630035E1,-9.439370728E-1
4.233650002E-2,-2.946023712E0,-1.130314499E1,-1.423090668E0
5.232949997E-2,-3.077300720E0,-1.122994720E1,-1.690135345E0
6.232350005E-2,-3.203338623E0,-1.095960938E1,-1.892514496E0
7.231650001E-2,-3.443888397E0,-1.041040146E1,-2.121388550E0
8.230949997E-2,-3.536695404E0,-9.545649719E0,-2.035467224E0
9.230250004E-2,-3.316054230E0,-9.035959625E0,-1.451681213E0
1.022955000E-1,-2.770289154E0,-8.738228760E0,-3.758683777E-1
1.122895000E-1,-2.344574432E0,-9.074729004E0,-1.431024170E0
1.222825000E-1,-2.322869568E0,-1.022912842E1,-3.663332062E0
1.322755000E-1,-2.117796021E0,-1.162602356E1,-5.864055634E0
1.422685001E-1,-1.568887482E0,-1.253493347E1,-5.759273529E0
1.522615000E-1,-9.211843872E-1,-1.297876053E1,-3.359463959E0
1.622545000E-1,-3.885919189E-1,-1.352437592E1,-1.550775146E-1
1.722485001E-1,4.215234375E-1,-1.462488739E1,2.643652496E0
1.822415000E-1,1.166374512E0,-1.502305939E1,3.104993134E0
1.922345000E-1,1.861528931E0,-1.427102325E1,1.606758728E0
2.022275000E-1,1.587149506E0,-1.304372543E1,-3.731739807E-1
2.122205000E-1,5.749543762E-1,-1.195114746E1,-1.144220581E0
2.222145000E-1,-1.399589539E-1,-1.091904373E1,-1.418300629E0
2.322075000E-1,-3.905378723E-1,-9.932595062E0,-1.798809357E0
2.422005000E-1,8.277786255E-2,-9.266330566E0,-2.870879974E0
2.521935001E-1,7.767347717E-1,-8.566386108E0,-3.630400543E0
2.621865000E-1,8.922944641E-1,-8.552914124E0,-2.362537079E0
2.721805000E-1,3.677851868E-1,-8.782985687E0,-1.669927368E0
2.821735000E-1,-5.975573730E-1,-9.136101379E0,-2.457739105E0
2.921665000E-1,-1.049168243E0,-8.846753082E0,-1.188528442E0
3.021595000E-1,-1.394500122E0,-8.804840240E0,-7.840695190E-1
3.121525000E-1,-1.442550201E0,-8.825946350E0,-1.349743195E0
3.221455000E-1,-1.483864288E0,-8.887618103E0,-1.984573059E0
3.321395000E-1,-1.293609924E0,-8.596473541E0,-1.923200684E0
3.421325000E-1,-9.873468018E-1,-8.061036987E0,-1.146316223E0
3.521255000E-1,-7.345225525E-1,-7.683971100E0,-5.508544922E-1
3.621185001E-1,-3.381468201E-1,-7.153174896E0,-4.068539429E-1
3.721115000E-1,4.730163574E-2,-6.451434174E0,-6.339317322E-1
3.821055000E-1,8.337661743E-2,-6.239175568E0,-1.014889526E0
3.920985000E-1,1.972897339E-1,-6.004912720E0,-1.151705017E0
4.020915000E-1,3.604504395E-1,-5.915398865E0,-1.532662811E0
4.120845000E-1,6.834786987E-1,-5.814808044E0,-1.691482544E0
4.220775000E-1,1.019230499E0,-5.722599792E0,-1.883982239E0
4.320705000E-1,1.106798401E0,-5.718408508E0,-1.768721924E0
4.420645001E-1,8.818162537E-1,-5.810467072E0,-1.569037170E0
4.520575000E-1,4.327500916E-1,-5.905220032E0,-1.418001251E0
4.620505000E-1,4.011657715E-2,-5.904920654E0,-1.514251099E0
4.720435000E-1,-3.664379883E-1,-5.936355286E0,-1.992805939E0
4.820365000E-1,-7.735913086E-1,-6.052064667E0,-2.501148834E0
