"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636362711313709E9,"2021-11-08 10:11:51.314 UTC+01:00"
"PAUSE",9.151321841665776E1,1.636362802827680E9,"2021-11-08 10:13:22.828 UTC+01:00"
