"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636361854028776E9,"2021-11-08 09:57:34.029 UTC+01:00"
"PAUSE",6.640507133334177E1,1.636361920434394E9,"2021-11-08 09:58:40.434 UTC+01:00"
