"event","experiment time","system time","system time text"
"START",0.000000000E0,1636472270.194,"2021-11-09 16:37:50.194 UTC+01:00"
"PAUSE",4.928297447E1,1636472319.477,"2021-11-09 16:38:39.477 UTC+01:00"
