"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.798208310E-3,-1.554519832E-1,-2.681870461E-1,-1.773672923E-2
1.986120833E-2,-1.595159620E-1,-3.078072965E-1,-8.325748146E-3
2.992420830E-2,-1.497927606E-1,-3.026855290E-1,-5.001590122E-3
3.998720832E-2,-1.611050814E-1,-2.696324885E-1,1.869415306E-2
5.005020835E-2,-1.994181126E-1,-2.528713644E-1,4.969893768E-2
6.011420832E-2,-2.202431709E-1,-1.952847689E-1,8.366373926E-2
7.017720834E-2,-2.061949968E-1,-1.170014217E-1,1.422282606E-1
8.024020831E-2,-1.482859999E-1,7.795227319E-2,2.344687134E-1
9.030320833E-2,-7.090013474E-2,1.122902781E-1,2.824706137E-1
1.003662083E-1,9.386619553E-3,1.567248255E-1,2.960584760E-1
1.104292083E-1,7.779311389E-2,2.280091345E-1,3.033451438E-1
1.204922083E-1,1.144540682E-1,2.701407075E-1,3.277907372E-1
1.305552083E-1,1.200043634E-1,2.770425677E-1,3.455556333E-1
1.406182083E-1,1.220669821E-1,2.062664926E-1,3.462611139E-1
1.506812083E-1,1.236126795E-1,1.641025245E-1,3.386846781E-1
1.607442083E-1,1.177551970E-1,1.455453187E-1,3.300702572E-1
1.708072083E-1,8.190932125E-2,1.243686751E-1,3.228272498E-1
1.808702083E-1,3.039931878E-2,9.040681273E-2,3.255427182E-1
1.909332083E-1,-2.102019638E-2,6.903041899E-2,3.370342553E-1
2.009972083E-1,-6.589338928E-2,5.106126890E-2,3.423986435E-1
2.110602083E-1,-9.770698100E-2,1.492243912E-2,3.415123522E-1
2.211232083E-1,-1.333482713E-1,-2.920476347E-2,3.382251859E-1
2.311862083E-1,-1.777394414E-1,-9.634651989E-2,3.286740184E-1
2.412492083E-1,-2.208005190E-1,-1.766342819E-1,3.062260449E-1
2.513122083E-1,-2.509565651E-1,-2.417757362E-1,2.838696241E-1
2.613752083E-1,-2.836482823E-1,-2.883913815E-1,2.697025239E-1
2.714382083E-1,-3.272570372E-1,-3.029524684E-1,2.688686848E-1
2.815012083E-1,-3.919252455E-1,-2.672815025E-1,2.866988778E-1
2.915642083E-1,-4.696847498E-1,-1.915768981E-1,3.152160048E-1
3.016272083E-1,-5.223221779E-1,-1.238801628E-1,3.393806219E-1
3.116902083E-1,-5.441742539E-1,-6.990454346E-2,3.462694287E-1
3.217532083E-1,-5.273896456E-1,-6.139820442E-2,3.288910985E-1
3.318160000E-1,-4.815588295E-1,-1.219252050E-1,2.917298973E-1
3.418790000E-1,-4.217016697E-1,-2.259514481E-1,2.459049970E-1
3.519430000E-1,-3.535428643E-1,-3.530758321E-1,2.004014254E-1
3.620060000E-1,-2.851365805E-1,-4.505507052E-1,1.635217071E-1
3.720690000E-1,-2.375517339E-1,-4.593905210E-1,1.504935324E-1
3.821320000E-1,-2.151819617E-1,-3.918441236E-1,1.573311388E-1
3.921950000E-1,-2.194696367E-1,-2.938914597E-1,1.755005568E-1
4.022580000E-1,-2.351129055E-1,-1.703640521E-1,2.090645730E-1
4.123210000E-1,-2.542820871E-1,-8.877066523E-2,2.418387681E-1
