"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.898288333E-1,3.992969692E-1,2.233690977E0,-1.433422565E-1
8.998918334E-1,3.841963112E-1,2.349374533E0,2.699218504E-2
9.099538334E-1,3.566129804E-1,2.515494823E0,1.696165204E-1
9.200168333E-1,3.685796261E-1,2.628400564E0,2.503960431E-1
9.300798334E-1,4.004916549E-1,2.596821308E0,2.455317229E-1
9.401418334E-1,4.209540486E-1,2.390159130E0,1.688622385E-1
9.502048334E-1,3.733292520E-1,2.054536581E0,5.479313806E-2
9.602678334E-1,2.247168869E-1,1.674619436E0,-3.782308474E-2
9.703298333E-1,-3.607048839E-2,1.327078104E0,-5.073299631E-2
9.803928334E-1,-3.635823131E-1,1.088718295E0,-1.556355692E-2
9.904558334E-1,-6.872017384E-1,9.662450552E-1,6.370420102E-3
1.000517833E0,-9.423413277E-1,9.464290142E-1,-8.403732441E-3
1.010580833E0,-1.056506276E0,9.532750845E-1,-8.285598457E-2
1.020643833E0,-1.023257017E0,9.318262339E-1,-1.753353179E-1
1.030705833E0,-8.678852320E-1,8.553762436E-1,-2.607053518E-1
1.040768833E0,-6.362978220E-1,6.736887097E-1,-3.128601611E-1
1.050830833E0,-3.358593881E-1,3.379062414E-1,-3.191861510E-1
1.060893833E0,2.941396087E-5,-3.381379694E-2,-3.077957928E-1
1.070956833E0,2.682178020E-1,-2.575334907E-1,-3.843117058E-1
1.081018833E0,3.425993919E-1,-3.384871781E-1,-5.932419896E-1
1.091081833E0,2.783441544E-1,-3.473450243E-1,-8.431406021E-1
1.101144833E0,1.943717450E-1,-2.560691833E-1,-1.068860888E0
1.111206833E0,1.635920405E-1,-1.162824184E-1,-1.245317340E0
1.121269833E0,2.179801911E-1,2.345497161E-2,-1.378182411E0
1.131332833E0,2.902819514E-1,8.583252132E-2,-1.499536037E0
1.141394833E0,3.514875174E-1,-1.498170048E-1,-1.584201097E0
1.151457833E0,3.295050859E-1,-4.864108562E-1,-1.632222295E0
1.161520833E0,1.920926273E-1,-7.921745181E-1,-1.677707434E0
1.171582833E0,2.957061306E-2,-1.125925541E0,-1.700174809E0
1.181645833E0,-5.319297686E-2,-1.290699005E0,-1.667325020E0
1.191708833E0,-1.485604979E-2,-1.185094237E0,-1.557611942E0
1.201770833E0,1.359430552E-1,-9.304084182E-1,-1.361505032E0
1.211833833E0,3.750265241E-1,-5.897849798E-1,-1.147710919E0
1.221896833E0,5.585840940E-1,-8.618363738E-2,-1.089686751E0
1.231958833E0,6.046888232E-1,3.239072561E-1,-1.246129274E0
1.242021833E0,4.653426409E-1,5.625610948E-1,-1.515316367E0
1.252084833E0,3.205015659E-1,8.765124083E-1,-1.692616224E0
1.262146833E0,2.117391378E-1,1.022608638E0,-1.825355172E0
1.272209833E0,2.137371749E-1,7.961168289E-1,-2.006766081E0
1.282272833E0,2.749414146E-1,3.362424374E-1,-2.127953768E0
1.292334833E0,3.208276033E-1,2.741800249E-1,-1.951268435E0
1.302397833E0,3.889952302E-1,3.810020983E-1,-1.718022943E0
1.312459833E0,5.140653253E-1,4.164588153E-1,-1.653175235E0
1.322522833E0,6.294243932E-1,2.563868463E-1,-1.696384192E0
1.332585833E0,6.992235184E-1,-2.500984631E-2,-1.753742814E0
1.342647833E0,7.217735648E-1,-1.367547512E-1,-1.790843844E0
