"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636390851459531E9,"2021-11-08 18:00:51.460 UTC+01:00"
"PAUSE",7.211875745828729E1,1.636390923578735E9,"2021-11-08 18:02:03.579 UTC+01:00"
