"event","experiment time","system time","system time text"
"START",0.000000000E0,1636141691.779,"2021-11-05 20:48:11.779 UTC+01:00"
"PAUSE",5.663654092E1,1636141748.416,"2021-11-05 20:49:08.416 UTC+01:00"
