"event","experiment time","system time","system time text"
"START",0.000000000E0,1636139695.916,"2021-11-05 20:14:55.916 UTC+01:00"
"PAUSE",4.580251430E1,1636139741.719,"2021-11-05 20:15:41.719 UTC+01:00"
