"event","experiment time","system time","system time text"
"START",0.000000000E0,1636569313.588,"2021-11-10 19:35:13.588 UTC+01:00"
"PAUSE",1.506510802E1,1636569328.653,"2021-11-10 19:35:28.653 UTC+01:00"
