"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636481611963133E9,"2021-11-09 19:13:31.963 UTC+01:00"
"PAUSE",1.573462387500331E1,1.636481627697868E9,"2021-11-09 19:13:47.698 UTC+01:00"
