"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636489391310009E9,"2021-11-09 21:23:11.310 UTC+01:00"
"PAUSE",3.085317579167895E1,1.636489422162071E9,"2021-11-09 21:23:42.162 UTC+01:00"
