"event","experiment time","system time","system time text"
"START",0.000000000E0,1636212075.796,"2021-11-06 16:21:15.796 UTC+01:00"
"PAUSE",7.004401466E1,1636212145.840,"2021-11-06 16:22:25.840 UTC+01:00"
