"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.610407500E-1,-7.182415128E-1,-5.323618650E-1,8.727709055E-1
1.710197500E-1,-7.153574824E-1,-6.087228656E-1,1.038452148E0
1.809987500E-1,-5.486420393E-1,-5.701792240E-1,1.112618804E0
1.909787500E-1,-3.279193044E-1,-6.243846416E-1,1.156200767E0
2.009577500E-1,-9.949411452E-2,-6.586478353E-1,1.212234974E0
2.109367500E-1,8.727709949E-2,-6.359284520E-1,1.218191504E0
2.209157500E-1,1.903006881E-1,-6.338871717E-1,1.211100221E0
2.308957500E-1,2.421214730E-1,-6.138644218E-1,1.176318288E0
2.408747500E-1,2.554420829E-1,-5.651163459E-1,1.097671032E0
2.508847500E-1,2.535056472E-1,-4.797996283E-1,1.000321627E0
2.608637500E-1,2.402215302E-1,-6.015950441E-1,8.731797338E-1
2.708427500E-1,2.499145567E-1,-8.268142939E-1,8.115479350E-1
2.808217500E-1,2.957427800E-1,-1.061506748E0,8.018196225E-1
2.908017500E-1,3.727284372E-1,-1.303665757E0,8.365367651E-1
3.007807500E-1,4.554731250E-1,-1.588189960E0,8.778112531E-1
3.107597500E-1,5.677330494E-1,-1.948192835E0,8.946359158E-1
3.207387500E-1,7.393940091E-1,-2.341780663E0,9.864313006E-1
3.307187500E-1,1.004820347E0,-2.611900091E0,1.246317744E0
3.406977500E-1,1.376134157E0,-2.665391445E0,1.597639799E0
3.506767500E-1,1.718635440E0,-2.407668829E0,1.767145753E0
3.606557500E-1,1.891519427E0,-1.864527822E0,1.582446218E0
3.706357500E-1,1.815816641E0,-1.418822050E0,1.489900470E0
3.806147500E-1,1.651023984E0,-9.865580797E-1,1.434660435E0
3.905937500E-1,1.464376330E0,-5.892061591E-1,1.417436719E0
4.005727500E-1,1.304279327E0,-2.803500295E-1,1.407685041E0
4.105527500E-1,1.162269950E0,-1.812209338E-1,1.432369232E0
4.205317500E-1,1.011612773E0,-2.769612968E-1,1.516377807E0
4.305107500E-1,8.539171815E-1,-4.214618802E-1,1.647074938E0
4.404897500E-1,7.587376833E-1,-5.460911989E-1,1.785529256E0
4.504697500E-1,7.469078898E-1,-6.400886178E-1,1.948992848E0
4.604487500E-1,7.774527669E-1,-8.205489516E-1,2.131054401E0
4.704277500E-1,8.203542233E-1,-9.598680139E-1,2.246914625E0
4.804067500E-1,8.748579621E-1,-9.909020662E-1,2.265969038E0
4.903867500E-1,9.529435635E-1,-9.600572586E-1,2.187193394E0
5.003957500E-1,1.055460930E0,-9.948517084E-1,2.041292191E0
5.103757500E-1,1.170792818E0,-1.069952965E0,1.878222227E0
5.203547500E-1,1.272946715E0,-1.115930915E0,1.713153362E0
5.303075000E-1,1.317297697E0,-1.176252842E0,1.613685250E0
5.402865000E-1,1.320064664E0,-1.218694568E0,1.596114278E0
5.502665000E-1,1.362983227E0,-1.193572283E0,1.587991357E0
5.602455000E-1,1.465641379E0,-1.190749645E0,1.597311378E0
5.702245000E-1,1.618019938E0,-1.321938634E0,1.616423368E0
5.802035000E-1,1.841361642E0,-1.441875458E0,1.605759263E0
5.901835000E-1,2.077296734E0,-1.522838831E0,1.574464917E0
6.001625000E-1,2.310221672E0,-1.588287115E0,1.530291319E0
6.101415000E-1,2.544218063E0,-1.642329097E0,1.446192741E0
6.201205000E-1,2.772433043E0,-1.772574186E0,1.354029298E0
6.301005000E-1,2.959578753E0,-1.970798492E0,1.268613696E0
6.400795000E-1,3.019640923E0,-2.207472086E0,1.211344004E0
6.500585000E-1,2.831472158E0,-2.375657797E0,1.225329757E0
6.600375000E-1,2.464906454E0,-2.155297279E0,1.214404106E0
6.700175000E-1,2.019866228E0,-1.633784890E0,1.175594211E0
6.799965000E-1,1.577736020E0,-1.180366516E0,1.188391209E0
6.899755000E-1,1.272736192E0,-8.771136403E-1,1.200667262E0
6.999545000E-1,1.157210112E0,-7.109950185E-1,1.151450992E0
7.099345000E-1,1.188942432E0,-6.910223365E-1,1.074780464E0
7.199135000E-1,1.334424853E0,-7.891145349E-1,9.896153212E-1
7.298925000E-1,1.523252010E0,-9.849190712E-1,9.173685312E-1
7.399025000E-1,1.737631440E0,-1.177273870E0,8.265987039E-1
7.498815000E-1,1.889586449E0,-1.411588550E0,7.648784518E-1
7.598605000E-1,1.884491563E0,-1.638344288E0,7.692487240E-1
7.698405000E-1,1.763630033E0,-1.633885145E0,7.481439114E-1
7.798195000E-1,1.485665798E0,-1.568746328E0,7.816722989E-1
7.897985000E-1,1.130760670E0,-1.303089738E0,9.040524960E-1
7.997775000E-1,7.821713090E-1,-8.123974800E-1,9.548621178E-1
8.097575000E-1,4.629294872E-1,-3.177104592E-1,9.507538676E-1
8.197365000E-1,2.363679856E-1,4.508102685E-2,8.824192882E-1
8.297155000E-1,1.004704759E-1,1.286411881E-1,8.018954992E-1
8.396945000E-1,5.895232409E-2,3.713231534E-2,6.959648132E-1
8.496745000E-1,6.648173928E-2,-1.185403392E-1,5.532333255E-1
8.596535000E-1,4.896052927E-2,-2.999173105E-1,4.331476390E-1
8.696325000E-1,-1.249543298E-2,-3.844330311E-1,3.216769993E-1
8.796115000E-1,-9.573439509E-2,-3.652223051E-1,2.364830226E-1
8.895915000E-1,-1.734811068E-1,-2.816503048E-1,1.650453806E-1
8.995705000E-1,-2.144980580E-1,-2.046862841E-1,1.370720714E-1
9.095495000E-1,-1.963552833E-1,-1.390125304E-1,1.191756055E-1
9.195285000E-1,-1.019145250E-1,-7.385537028E-2,6.049631536E-2
9.295085000E-1,3.972362727E-2,-1.002302393E-1,1.497494336E-2
9.394875000E-1,1.885083020E-1,-1.817352176E-1,1.481728442E-2
9.494665000E-1,3.569663167E-1,-2.301468104E-1,4.664238915E-2
9.594455000E-1,4.775100350E-1,-2.743526101E-1,8.885987848E-2
9.694255000E-1,5.104231834E-1,-2.210150659E-1,7.971871644E-2
9.794045000E-1,5.137504935E-1,7.008514367E-3,-2.536615916E-2
9.894145000E-1,5.168448687E-1,2.194934934E-1,-1.536308676E-1
9.993935000E-1,5.852431059E-1,3.917329013E-1,-2.760955393E-1
1.009372500E0,7.528856993E-1,5.480782390E-1,-4.219276905E-1
1.019351500E0,9.877325892E-1,6.101224422E-1,-5.427260399E-1
1.029331500E0,1.245969296E0,5.631210804E-1,-6.300272942E-1
1.039310500E0,1.160567045E0,2.682348490E-1,-5.107187629E-1
1.049289500E0,5.332615972E-1,-1.852245033E-1,-2.287621796E-1
1.059268500E0,-4.553152621E-1,-4.543041885E-1,1.140063629E-1
1.069248500E0,-1.309899211E0,-2.624090910E-1,3.359024525E-1
1.079227500E0,-1.826591372E0,9.041340090E-3,4.475602806E-1
1.089206500E0,-2.010328054E0,1.633242518E-1,4.204244614E-1
1.099185500E0,-1.872037649E0,1.781575233E-1,2.193598151E-1
1.109164500E0,-1.419594169E0,3.841929883E-2,2.303547785E-2
1.119144500E0,-8.976487517E-1,-9.886132926E-2,-2.070834786E-1
1.129123500E0,-4.245759845E-1,-1.662423760E-1,-1.888909489E-1
1.139102500E0,-2.038183212E-1,-2.787843645E-1,-1.949571073E-1
1.149081500E0,-1.582636684E-1,-1.124649122E-1,-1.996890455E-1
1.159061500E0,-2.440339774E-1,-3.969084099E-2,-1.890396029E-1
1.169040500E0,-3.273262680E-1,-5.632282794E-2,-2.147796154E-1
1.179019500E0,-3.705602884E-1,-1.521100700E-1,-2.758307159E-1
1.188998500E0,-3.374528587E-1,-3.740058243E-1,-3.332089484E-1
1.198978500E0,-2.847774029E-1,-6.138370037E-1,-3.926552534E-1
1.208957500E0,-1.727621853E-1,-8.587406278E-1,-4.815326929E-1
1.218936500E0,-6.976629049E-2,-1.013649344E0,-5.588083267E-1
1.228946500E0,-2.017807215E-3,-1.040575624E0,-6.375126243E-1
1.238925500E0,2.297036722E-2,-9.063013792E-1,-7.046332955E-1
1.248904500E0,9.582782164E-3,-6.526006460E-1,-7.389749289E-1
1.258884500E0,-1.149773598E-2,-4.427489042E-1,-7.599763870E-1
1.268863500E0,-5.650155246E-2,-3.714675605E-1,-7.881822586E-1
1.278842500E0,-1.544307768E-1,-3.377631307E-1,-8.286569715E-1
1.288821500E0,-2.801989019E-1,-2.595046461E-1,-8.732179403E-1
1.298801500E0,-4.065959752E-1,-8.768199384E-2,-8.515956998E-1
1.308780500E0,-5.192080736E-1,5.531376228E-2,-8.504894972E-1
1.318759500E0,-6.256002784E-1,1.059628278E-1,-7.891387343E-1
1.328738500E0,-7.531126142E-1,1.397666186E-1,-7.267354727E-1
