"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.760083346E-3,-4.138893127E-1,8.743318176E0,4.349355469E0
1.383708336E-2,-3.743714905E-1,8.767268372E0,3.849694519E0
2.391408326E-2,-1.827699280E-1,8.769962769E0,3.434907074E0
3.399108327E-2,-3.673361206E-1,8.694968719E0,3.675905914E0
4.406808328E-2,-5.149291992E-1,8.736133118E0,4.110003204E0
5.414508330E-2,-4.758604431E-1,8.527167664E0,4.400249634E0
6.422208331E-2,-5.119354248E-1,8.317154388E0,4.295617218E0
7.429808332E-2,-6.412664795E-1,8.363857269E0,4.235592041E0
8.437508333E-2,-8.229885864E-1,8.304430847E0,4.158951416E0
9.445208334E-2,-7.966433716E-1,8.288414154E0,4.057612152E0
1.045290834E-1,-7.940986633E-1,8.170758820E0,3.902684326E0
1.146060833E-1,-1.050216064E0,7.975115662E0,3.738176422E0
1.246830833E-1,-1.096469879E0,8.004604340E0,3.573369141E0
1.347600833E-1,-8.605604553E-1,8.018675079E0,3.549868011E0
1.448370833E-1,-8.023315430E-1,7.966733093E0,3.634442139E0
1.549140833E-1,-9.160949707E-1,7.760162659E0,3.535946960E0
1.649910833E-1,-9.795629883E-1,7.656278687E0,3.578757935E0
1.750680833E-1,-9.662406921E-1,7.738906860E0,3.538341980E0
1.851450833E-1,-8.524772644E-1,7.894882507E0,3.540437622E0
1.952220832E-1,-4.761598206E-1,7.937094727E0,3.582051086E0
2.052990833E-1,-3.135978699E-1,7.929011536E0,3.752995605E0
2.153760833E-1,-3.005749512E-1,7.962392120E0,3.754492493E0
2.254530833E-1,-3.857478333E-1,8.038284302E0,3.717818756E0
2.355299583E-1,-3.375480652E-1,8.038433990E0,3.799249420E0
2.456069583E-1,-9.077124023E-1,7.252717896E0,4.646936646E0
2.556839583E-1,-1.285227356E0,6.956483917E0,5.161566467E0
2.657609583E-1,-6.915618896E-1,7.692952423E0,4.831353149E0
2.758379583E-1,-5.828878784E-1,7.752827911E0,5.323080597E0
2.859149583E-1,-6.652166748E-1,7.688012695E0,5.255720673E0
2.959909583E-1,-1.095122681E0,7.813900909E0,5.214705963E0
3.060679584E-1,-1.494791565E0,7.836952972E0,5.319787445E0
3.161449583E-1,-1.387913818E0,8.192463684E0,5.412594452E0
3.262219583E-1,-9.928852844E-1,8.531957703E0,5.359454956E0
3.362989583E-1,-7.321275330E-1,8.718020782E0,5.650599518E0
3.463759583E-1,-4.978646851E-1,8.499624939E0,5.624553680E0
3.564529583E-1,-6.593788147E-1,8.161478119E0,5.473517761E0
3.665299583E-1,-8.640032959E-1,8.147257690E0,5.730233917E0
3.766069583E-1,-8.125103760E-1,8.555758209E0,5.653892670E0
3.866839583E-1,-4.469705200E-1,8.842711487E0,5.369633789E0
3.967609582E-1,-1.234931946E-1,8.907227325E0,5.475014648E0
4.068379583E-1,-3.522175598E-1,8.424181824E0,5.924380188E0
4.169149583E-1,-8.861572266E-2,8.717122650E0,5.792504425E0
4.269919583E-1,-1.200503540E-1,8.834777985E0,5.710624695E0
4.370689583E-1,-2.576142883E-1,9.011260986E0,5.532195740E0
4.471459583E-1,-8.247848511E-2,9.052575073E0,5.826184387E0
4.572229583E-1,6.173162842E-1,8.777447205E0,6.223757629E0
4.672999583E-1,1.244362335E0,8.396788788E0,6.423741760E0
4.773769584E-1,4.584965515E-1,8.631500702E0,5.707032166E0
4.874539583E-1,4.041595459E-2,8.738827515E0,5.171745300E0
4.975309583E-1,6.164181519E-1,8.660989380E0,4.917573853E0
5.076079583E-1,4.499642944E-1,8.892707520E0,4.806654510E0
5.176839583E-1,4.360432434E-1,9.005273438E0,4.853656769E0
5.277609583E-1,4.722679138E-1,8.513396301E0,4.887486420E0
5.378379583E-1,1.017883301E-2,8.132887573E0,4.932093658E0
5.479149583E-1,1.360670471E-1,8.074059906E0,4.932991791E0
5.579919583E-1,-2.107617188E-1,7.604935455E0,4.922513580E0
5.680689584E-1,-4.736151123E-1,7.098837891E0,5.185516663E0
5.781459583E-1,-3.113525391E-1,6.879992981E0,5.285658417E0
5.882229583E-1,-2.712359619E-1,6.555168457E0,5.194497986E0
5.982999583E-1,6.466552734E-2,6.490802307E0,5.262905731E0
6.083769583E-1,2.559677124E-1,6.422693939E0,5.516328735E0
6.184539583E-1,3.234773254E-1,6.064488831E0,5.874234467E0
6.285309583E-1,1.574725342E-1,5.856122131E0,6.206244049E0
6.386079583E-1,4.400848389E-2,5.616320801E0,6.362070007E0
6.486849583E-1,-1.073268127E-1,5.519472198E0,6.036497040E0
6.587619584E-1,1.604663086E-1,5.764512634E0,5.813760223E0
6.688389583E-1,2.344125366E-1,6.131998444E0,5.963898010E0
6.789159583E-1,1.342707825E-1,6.475084991E0,6.227649536E0
6.889929583E-1,-1.107696533E-2,6.738986206E0,6.439309387E0
6.990699583E-1,-1.901046753E-2,6.947053528E0,6.452182617E0
7.091469583E-1,9.220825195E-2,7.144343262E0,6.135590973E0
7.192239583E-1,6.676116943E-2,7.377258911E0,5.810467072E0
7.292999583E-1,1.782792664E-1,7.147486725E0,5.438789978E0
7.393769583E-1,1.199006653E-1,6.414760437E0,5.555846558E0
7.494539584E-1,-6.256988525E-2,5.819448395E0,6.730304260E0
7.595309583E-1,-1.616638184E-2,5.534141693E0,8.055049438E0
7.696079583E-1,1.672023010E-1,5.549409943E0,8.458909607E0
7.796849583E-1,1.142124939E-1,5.943690033E0,8.170459442E0
7.897619583E-1,-7.304809570E-2,5.791456604E0,7.414681091E0
7.998389583E-1,-2.395019531E-1,5.303171997E0,6.608158264E0
8.099159583E-1,-4.254153442E-1,4.912634125E0,6.719376984E0
8.199929583E-1,-3.448828125E-1,4.701423340E0,7.290589142E0
8.300699583E-1,-1.332229614E-1,5.187013550E0,7.806566162E0
8.401469582E-1,2.517764282E-1,6.338119812E0,7.521708527E0
8.502239583E-1,8.602610779E-1,7.504943390E0,5.914800110E0
