"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.333208329E-3,-2.763702850E0,7.734116821E0,7.250023499E0
1.200720833E-2,-2.864143982E0,7.584727478E0,7.013066254E0
2.168120833E-2,-2.924917603E0,7.440427551E0,6.809938660E0
3.138620833E-2,-2.998564453E0,7.456893311E0,6.575226746E0
4.106020833E-2,-3.205134888E0,7.583380280E0,6.494394836E0
5.073420833E-2,-3.366349640E0,7.636968842E0,6.366860046E0
6.040820833E-2,-3.404370575E0,7.583979034E0,6.288273468E0
7.008220833E-2,-3.358266449E0,7.421117706E0,6.201454010E0
7.975620833E-2,-3.282224579E0,7.323071594E0,6.270011444E0
8.943020833E-2,-3.208278351E0,7.351811829E0,6.335425415E0
9.913520833E-2,-3.107238464E0,7.471263428E0,6.490502930E0
1.088092083E-1,-3.017874298E0,7.551197205E0,6.621779938E0
1.184464583E-1,-2.555934906E0,7.465425568E0,6.958878937E0
1.281204583E-1,-2.786455536E0,7.516918488E0,6.873406677E0
1.377944583E-1,-2.748584290E0,7.678133240E0,6.628665619E0
1.474684583E-1,-2.645598450E0,7.632777557E0,6.825356598E0
1.571734583E-1,-2.552192688E0,7.568710785E0,6.689888306E0
1.668474583E-1,-2.507286072E0,7.460336151E0,6.719376984E0
1.765214583E-1,-2.405048676E0,7.254663849E0,6.918313293E0
1.861954583E-1,-2.297572174E0,7.196285248E0,7.069349213E0
1.958694583E-1,-2.372266846E0,7.097041626E0,6.999294891E0
2.055434583E-1,-2.539169769E0,6.861281891E0,6.927294617E0
2.152174583E-1,-2.668351135E0,7.458539886E0,6.671326904E0
2.249224583E-1,-2.957549744E0,8.008346558E0,6.277046814E0
2.345964583E-1,-3.205434265E0,8.163573761E0,5.906716919E0
2.442704583E-1,-3.255729675E0,8.255632324E0,6.037844238E0
2.539444583E-1,-3.228486328E0,7.635322266E0,6.499035187E0
2.636184583E-1,-2.515219574E0,6.372248840E0,6.071973267E0
2.732924583E-1,-1.936223602E0,7.389084320E0,6.775210876E0
2.829664583E-1,-2.660717010E0,7.845485229E0,6.961423645E0
2.926404583E-1,-3.119512939E0,7.794740753E0,6.568939819E0
3.023144583E-1,-3.169658661E0,7.494165802E0,6.001320190E0
3.120194583E-1,-3.260220337E0,7.572153625E0,5.723946991E0
3.216934583E-1,-3.352877655E0,8.150101776E0,5.731132050E0
3.313674583E-1,-3.420387268E0,8.508306885E0,5.976322174E0
3.410414583E-1,-3.310665436E0,8.931626587E0,6.181695099E0
3.507154583E-1,-3.218157806E0,9.288484497E0,6.151757355E0
3.603894583E-1,-3.053949280E0,9.336684265E0,5.851032715E0
3.700634583E-1,-2.891537018E0,9.159153442E0,5.498964844E0
3.797374583E-1,-2.861299896E0,8.793164520E0,5.320835266E0
3.894114583E-1,-2.558479614E0,8.628806305E0,5.434449005E0
3.991164583E-1,-1.974094849E0,7.806566162E0,5.575455780E0
4.087904583E-1,-2.000889130E0,8.020321655E0,5.391937408E0
4.184644583E-1,-2.282453613E0,8.337661743E0,5.311255188E0
4.281384583E-1,-2.169887695E0,7.916587372E0,4.738546143E0
4.378124583E-1,-2.201771393E0,7.758067017E0,4.171824646E0
4.474864583E-1,-2.418520660E0,7.782017212E0,3.484454041E0
4.571604583E-1,-1.969304810E0,7.321425018E0,2.870131531E0
4.668344583E-1,-2.126178589E0,7.293283539E0,2.300266571E0
4.765084583E-1,-2.510579224E0,7.854466553E0,2.059716797E0
4.861834583E-1,-4.026925964E0,9.188791809E0,3.035836945E0
4.958574583E-1,-7.169191589E0,1.049108368E1,4.415068817E0
5.055314583E-1,-6.315516815E0,8.284222870E0,3.691024475E0
5.152354583E-1,-3.754642181E0,7.559579773E0,3.231929169E0
5.249094583E-1,-2.957549744E0,7.815397797E0,3.886517944E0
5.345834583E-1,-3.290906525E0,7.907606049E0,4.746479645E0
5.442574583E-1,-3.742218018E0,7.658374329E0,4.015100555E0
5.539324583E-1,-3.438649292E0,7.148983612E0,2.041903839E0
5.636064583E-1,-2.649190979E0,6.865323486E0,1.635798340E0
5.732804583E-1,-2.330803070E0,7.301516418E0,2.064207458E0
5.829544583E-1,-2.414179688E0,8.020621033E0,2.100432129E0
5.926284583E-1,-2.401905212E0,8.586893463E0,2.135758667E0
6.023324583E-1,-2.206711121E0,8.810079346E0,2.389930115E0
6.120074583E-1,-2.081271973E0,8.878038025E0,2.536175995E0
6.216814583E-1,-2.007176056E0,8.818162537E0,2.678529968E0
6.313554583E-1,-1.993853760E0,8.531808014E0,2.762056274E0
6.410294583E-1,-2.170336761E0,8.446784821E0,2.584375763E0
6.507334583E-1,-2.341430969E0,8.690927124E0,2.400258636E0
6.604074583E-1,-2.449655914E0,8.873247986E0,2.302811279E0
6.700814583E-1,-2.401905212E0,9.000483398E0,2.367925873E0
6.797564583E-1,-2.358046417E0,8.954379272E0,2.504292297E0
6.894304583E-1,-2.271526337E0,8.865613861E0,2.734663239E0
6.991044583E-1,-2.237247620E0,8.930728455E0,2.982996826E0
7.088084583E-1,-2.308050385E0,9.074130249E0,2.999312897E0
7.184824583E-1,-2.273322601E0,9.172026672E0,3.034938812E0
7.281564583E-1,-2.181264038E0,9.068741455E0,3.436553650E0
7.378304583E-1,-2.165995789E0,8.736582184E0,3.698059845E0
7.475054583E-1,-2.135459290E0,8.384065247E0,3.564986572E0
7.571794583E-1,-2.350711670E0,7.832013245E0,4.420906677E0
7.668534583E-1,-4.738246765E0,7.436984711E0,9.381141815E0
7.765574583E-1,-4.151766357E0,8.192014618E0,7.117698669E0
7.862314583E-1,-4.007915497E0,9.300908661E0,6.298601990E0
7.959054583E-1,-3.343896332E0,9.462422791E0,3.366649017E0
8.055804583E-1,-2.776875458E0,9.643695831E0,1.099014587E0
8.152544583E-1,-2.458637238E0,1.009979736E1,1.806443481E0
8.249284583E-1,-2.359543304E0,9.305249634E0,1.144070892E0
8.346024583E-1,-1.912423096E0,9.203760681E0,1.881886597E0
8.442764583E-1,-1.780846710E0,9.098230133E0,2.781665497E0
8.539804583E-1,-2.286046143E0,9.451794891E0,2.436034241E0
8.636544583E-1,-2.910697174E0,9.739047546E0,2.921474762E0
8.733294583E-1,-3.232677612E0,1.009695328E1,2.068698120E0
8.830034583E-1,-3.076552277E0,1.001642075E1,1.937121735E0
8.926774583E-1,-2.300865326E0,8.985963593E0,1.643432465E0
9.023514583E-1,-2.351909180E0,8.840316467E0,1.496288452E0
9.120554583E-1,-1.978435822E0,8.907826080E0,2.754272461E0
9.217294583E-1,-1.900148621E0,9.174870758E0,2.508782959E0
9.314034583E-1,-1.708397369E0,9.558522949E0,2.099833374E0
9.410784583E-1,-1.849104767E0,9.217831421E0,2.229763184E0
9.507524583E-1,-1.791624298E0,8.648265839E0,2.624492340E0
9.604564583E-1,-1.529669037E0,9.171427917E0,2.393971710E0
9.701304583E-1,-2.281106415E0,9.352551270E0,1.763782196E0
9.798044583E-1,-2.920576630E0,9.584419098E0,7.804769897E-1
9.894784583E-1,-3.264860687E0,9.671987000E0,3.667373657E-1
9.991834583E-1,-3.579656067E0,9.735604706E0,7.707472229E-1
1.008857458E0,-3.888763275E0,1.022448807E1,7.466473389E-1
1.018531458E0,-3.815864868E0,1.052820648E1,9.056167603E-1
1.028205458E0,-3.150648193E0,1.027747787E1,3.502716064E-1
1.037879458E0,-2.577190704E0,9.500593414E0,5.301974487E-1
1.047584458E0,-2.627935181E0,8.708291016E0,2.146536255E-1
1.057258458E0,-1.919458466E0,8.177794189E0,2.963836670E-1
1.066932458E0,-3.409909058E-1,9.107810211E0,-1.766326904E-1
1.076606458E0,-4.186793518E-1,9.359886017E0,5.400769043E-1
1.086280458E0,-5.330415344E-1,9.406738586E0,1.723665619E0
1.095985458E0,-1.169218597E0,9.625134430E0,1.431922302E0
1.105659458E0,-1.848506012E0,1.002210892E1,-7.589218140E-2
1.115333458E0,-1.821112976E0,1.010458740E1,-1.801204376E0
1.124997708E0,-1.078806610E0,9.350156250E0,-2.401605835E0
1.134702708E0,-1.796264648E-3,9.051676941E0,-7.267387390E-1
1.144376708E0,8.509803772E-1,9.784253540E0,4.385879517E-1
1.154050708E0,1.132993927E0,1.010967682E1,-1.116677856E-1
1.163724708E0,1.172960815E0,1.000968475E1,-1.285975800E0
1.173428708E0,1.789229279E0,9.737400970E0,-2.537822571E0
1.183102708E0,6.108796692E-1,9.859097900E0,-3.323538666E0
1.192777708E0,-1.088087311E0,1.011820908E1,-4.022884369E0
1.202451708E0,-1.611698456E0,1.025966492E1,-4.295317841E0
1.212155708E0,-1.507066040E0,1.047791107E1,-4.406985626E0
1.221829708E0,-1.273851013E0,1.023721161E1,-4.577780457E0
1.231503708E0,-9.592053223E-1,9.802665253E0,-4.547243958E0
1.241177708E0,-9.337582397E-1,9.209897919E0,-4.791835327E0
1.250882708E0,-1.060544586E0,8.857380981E0,-4.982688446E0
1.260556708E0,-1.082997894E0,8.131690063E0,-5.351072388E0
1.270230708E0,-1.274150391E0,7.170239410E0,-5.875431976E0
1.279935708E0,-1.595831451E0,6.647227020E0,-6.473288727E0
1.289609708E0,-1.662293243E0,6.304290161E0,-6.472989349E0
1.299283708E0,-1.617985382E0,6.105054474E0,-6.195765839E0
1.308987708E0,-1.072669373E0,6.201004944E0,-5.585335236E0
1.318662708E0,-1.549278259E-1,5.832770691E0,-5.543123016E0
1.328336708E0,1.252894592E-1,5.595065002E0,-5.716013489E0
1.338040708E0,7.711962891E-1,5.326523438E0,-6.263574829E0
1.347714708E0,6.078858948E-1,4.328997803E0,-7.020251312E0
1.357388708E0,1.453477478E-1,3.404370575E0,-7.256609802E0
1.367062708E0,-5.315446472E-1,3.023712158E0,-7.538323975E0
1.376767708E0,-1.142873383E0,3.433410187E0,-7.744445343E0
1.386441708E0,-1.114432526E0,4.413422241E0,-7.499404907E0
1.396115708E0,-4.062551880E-1,5.307363281E0,-7.066804504E0
1.405789708E0,-3.996688843E-2,5.936654663E0,-6.826105042E0
1.415494708E0,-1.595681763E-1,5.904172211E0,-6.886130219E0
1.425168708E0,-5.084925842E-1,5.598807220E0,-6.979236603E0
1.434842708E0,-7.447013855E-1,5.037923584E0,-7.341333618E0
1.444547708E0,-8.780740356E-1,4.551734619E0,-7.753576355E0
1.454221708E0,-6.218069458E-1,4.514162750E0,-7.952961731E0
1.463895708E0,-2.001338196E-1,5.072501678E0,-8.077951813E0
1.473569708E0,1.496887207E-2,6.019881592E0,-7.949369202E0
1.483273708E0,-1.939965820E-1,6.690487061E0,-7.965535583E0
1.492947708E0,-3.538641357E-1,7.073241119E0,-7.868686981E0
1.502622708E0,-4.478686523E-1,6.940467224E0,-7.904163208E0
1.512296708E0,-8.364605713E-1,6.638395386E0,-7.778724060E0
1.522000708E0,-1.121168518E0,6.257886658E0,-7.885751495E0
1.531674708E0,-1.432820435E0,5.550607452E0,-8.075706482E0
1.541348708E0,-1.686542816E0,5.587879944E0,-7.963889008E0
1.551022708E0,-1.813179474E0,6.136938171E0,-7.888894958E0
1.560727708E0,-2.034569092E0,6.799161072E0,-7.810158691E0
1.570401708E0,-2.033670959E0,7.613767090E0,-7.555687866E0
1.580075708E0,-1.961071930E0,8.059091034E0,-7.219037933E0
1.589749708E0,-1.992805939E0,7.942034454E0,-7.175328827E0
1.599423708E0,-2.093995514E0,7.664511566E0,-7.279063110E0
1.609097708E0,-2.230062561E0,7.300019531E0,-7.431895294E0
1.618802708E0,-2.452200623E0,6.760092316E0,-7.732619934E0
1.628476708E0,-2.737507324E0,6.236181793E0,-7.973918152E0
1.638150708E0,-3.046464844E0,5.921536102E0,-8.152047729E0
1.647824708E0,-3.193908234E0,5.808072052E0,-8.222251740E0
1.657498708E0,-2.936293945E0,5.757028198E0,-8.190218353E0
1.667172708E0,-2.458038483E0,5.642815704E0,-8.232729950E0
1.676846708E0,-2.043101349E0,5.281167755E0,-8.328830109E0
1.686551708E0,-1.532513123E0,4.984035645E0,-8.353528748E0
1.696225708E0,-1.046174469E0,4.778363342E0,-8.483308868E0
1.705899708E0,-7.869136047E-1,4.620890808E0,-8.648415527E0
1.715573708E0,-7.574249268E-1,4.494254150E0,-8.706794128E0
1.725247708E0,-8.201445007E-1,4.288881226E0,-8.775351563E0
1.734921708E0,-6.839277649E-1,4.005221100E0,-8.758885803E0
1.744626708E0,-3.204835510E-1,3.989354095E0,-8.473429413E0
1.754300708E0,5.987548828E-3,3.706891479E0,-8.330776062E0
1.763974708E0,1.121168518E-1,3.799099731E0,-8.229885864E0
1.773648708E0,-7.589218140E-2,3.708687744E0,-8.082592163E0
1.783322708E0,-2.288740540E-1,3.828887787E0,-7.669151917E0
1.793027708E0,-3.656895447E-1,4.112547913E0,-7.728578339E0
1.802701708E0,-4.885839844E-1,4.355642395E0,-7.930807800E0
1.812375708E0,-7.042854309E-1,4.706662445E0,-7.829019470E0
1.822049708E0,-9.969268799E-1,5.248685303E0,-7.621251526E0
1.831723708E0,-1.057251434E0,6.101611633E0,-6.907386017E0
1.841397708E0,-1.089284821E0,6.642137604E0,-6.539002075E0
1.851102708E0,-1.291963348E0,6.982529755E0,-6.385870514E0
1.860776708E0,-1.535506897E0,7.623047791E0,-6.230343933E0
1.870450708E0,-1.822460175E0,7.669600983E0,-6.255940704E0
1.880124708E0,-2.376009064E0,7.111262054E0,-6.459068298E0
1.889829708E0,-3.056493988E0,6.278843079E0,-7.057224426E0
1.899503708E0,-3.737427979E0,5.300926666E0,-7.215744781E0
1.909177708E0,-3.944297791E0,4.919370117E0,-7.590415649E0
1.918851708E0,-3.906276855E0,5.302423553E0,-7.294930115E0
1.928525708E0,-3.531156921E0,5.564827881E0,-6.929240570E0
1.938229708E0,-3.169958038E0,5.555846558E0,-6.599326630E0
1.947903708E0,-2.561623077E0,5.451214142E0,-6.654861145E0
1.957578708E0,-1.894909515E0,6.669830017E0,-6.382577362E0
1.967252708E0,-1.761686554E0,7.098239136E0,-5.575605469E0
1.976926708E0,-1.722917175E0,7.208260345E0,-5.661975861E0
1.986600708E0,-1.848206635E0,6.546336823E0,-5.938450928E0
1.996274708E0,-1.687141571E0,6.770869904E0,-6.281687164E0
2.005978708E0,-1.755399628E0,7.096143494E0,-6.212830353E0
2.015653708E0,-1.688039703E0,7.025789795E0,-6.146218872E0
2.025327708E0,-1.845063171E0,6.863527222E0,-6.108796692E0
2.035001708E0,-1.329984283E0,6.921307068E0,-5.931415558E0
2.044675708E0,-7.979905701E-1,6.993157654E0,-6.012995911E0
2.054349708E0,-5.963598633E-1,6.822213135E0,-5.840404816E0
2.064023708E0,-4.406835938E-1,6.643335114E0,-5.465434570E0
2.073697708E0,-2.992277527E-1,6.583309937E0,-4.947661285E0
2.083371708E0,-6.846762085E-1,6.580465851E0,-4.497098236E0
2.093076708E0,-3.517684937E-1,6.996600494E0,-4.097129974E0
2.102750708E0,-2.336640930E-1,6.948251038E0,-4.042044525E0
2.112424708E0,-6.527925110E-1,6.071075134E0,-4.173471222E0
2.122078500E0,1.731748810E0,6.542444916E0,-5.089117126E0
2.131752500E0,5.466931458E0,1.064945435E1,-3.883374481E0
2.141456500E0,3.375929718E0,1.096574661E1,-3.347937927E0
2.151131500E0,4.858895874E-1,1.129281647E1,-3.850892029E0
2.160805500E0,-1.250050507E0,1.127111160E1,-3.520828400E0
2.170479500E0,-2.079924774E0,1.028541138E1,-3.258424072E0
2.180153500E0,-2.208058319E0,1.034393967E1,-3.283122711E0
2.189857500E0,-2.315235443E0,1.008467880E1,-3.242108002E0
2.199531500E0,-3.063679047E0,1.064900528E1,-3.124302979E0
2.209206500E0,-3.460952911E0,1.126766876E1,-3.241509247E0
2.218880500E0,-3.755240936E0,1.100242035E1,-3.337759094E0
2.228584500E0,-3.864663391E0,1.039782761E1,-3.879183197E0
2.238258500E0,-3.913012848E0,9.581425323E0,-3.890559540E0
2.247932500E0,-4.062701569E0,8.695268097E0,-3.857178955E0
2.257606500E0,-3.667523346E0,7.682474213E0,-4.070485382E0
2.267280500E0,-3.382216644E0,7.223827972E0,-4.450545044E0
2.276985500E0,-3.109483795E0,7.369475098E0,-4.374503174E0
2.286659500E0,-2.431992645E0,7.505392456E0,-3.999532928E0
2.296333500E0,-1.819167023E0,7.627987518E0,-3.763024750E0
2.306007500E0,-1.646875305E0,8.132438507E0,-4.116739197E0
2.315712500E0,-1.691781921E0,8.948391724E0,-3.639830933E0
2.325386500E0,-2.136507111E0,8.327033844E0,-2.720143433E0
2.335060500E0,-2.137554932E0,7.419022064E0,-2.897075500E0
2.344734500E0,-1.964365082E0,8.982820129E0,-3.228486328E0
2.354408500E0,-2.430495758E0,9.739795990E0,-3.262765045E0
2.364113500E0,-2.552641754E0,9.947863312E0,-3.216810608E0
2.373787500E0,-2.534230042E0,1.000070343E1,-3.362906799E0
2.383461500E0,-1.854792938E0,1.004695724E1,-2.457140350E0
2.393135500E0,-8.178991699E-1,1.054512131E1,-2.007026367E0
2.402809500E0,-6.743476868E-1,1.090467361E1,-2.575244751E0
2.412483500E0,-5.965095520E-1,1.056981995E1,-2.519560547E0
2.422188500E0,-4.840933228E-1,9.242829437E0,-2.877915344E0
2.431862500E0,-1.247206421E0,8.738228760E0,-3.063379669E0
2.441536500E0,-1.463207245E0,8.353379059E0,-3.147654419E0
2.451210500E0,-1.534908142E0,8.160879364E0,-3.192411346E0
2.460915500E0,-1.529219971E0,8.218210144E0,-2.663710785E0
2.470589500E0,-1.875599670E0,8.501271515E0,-2.523602142E0
2.480263500E0,-1.887275391E0,9.033115540E0,-2.140997772E0
2.489937500E0,-2.370769958E0,9.648186493E0,-1.844464417E0
2.499611500E0,-2.804268494E0,9.321565704E0,-2.168091431E0
2.509315500E0,-2.689157867E0,9.248367920E0,-1.877545624E0
2.518989500E0,-2.080523529E0,9.590556335E0,-1.887874146E0
2.528664500E0,-1.620081024E0,8.615034943E0,-2.217488708E0
2.538338500E0,-1.023272095E0,6.752907257E0,-2.316582642E0
2.548012500E0,-2.511776733E-1,7.984096985E0,-2.431094513E0
2.557716500E0,-3.595523071E-1,7.679630127E0,-2.449655914E0
2.567390500E0,-4.598437500E-1,8.022417297E0,-2.423011322E0
2.577064500E0,-2.230361938E-1,9.751172333E0,-2.462828522E0
2.586738500E0,-6.718029785E-1,9.531728668E0,-2.901117096E0
2.596413500E0,-1.005309448E0,8.630901947E0,-3.115171967E0
2.606087500E0,-8.565188599E-1,8.755143585E0,-2.768792267E0
2.615791500E0,-7.833210754E-1,9.526339874E0,-2.133812714E0
2.625465500E0,-7.393125916E-1,1.029244675E1,-2.041604462E0
2.635139500E0,-5.475613403E-1,1.033196457E1,-2.257754974E0
2.644813500E0,-1.948947144E-1,1.030382309E1,-2.231110382E0
2.654518500E0,-4.939727783E-2,1.014964371E1,-2.352208557E0
