"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.556833322E-3,3.047662354E-1,3.612737274E0,8.898695068E0
7.472166675E-3,-2.790197754E-1,3.575764160E0,9.238787842E0
1.750116667E-2,-2.647993469E-1,3.195405121E0,9.770931244E0
2.752916666E-2,5.013075256E-1,2.659968567E0,9.608369293E0
3.755816666E-2,1.021026764E0,2.552791443E0,8.726103973E0
4.758716666E-2,1.310375061E0,2.938090210E0,8.853788452E0
5.761516665E-2,1.405277710E0,3.385659485E0,8.992849274E0
6.764416664E-2,1.279539185E0,3.994593201E0,8.680299225E0
7.767316664E-2,9.087602234E-1,3.670517120E0,8.721014557E0
8.770116663E-2,6.355783081E-1,3.438050537E0,8.787326660E0
9.773016663E-2,6.881190491E-1,3.271896057E0,9.216484222E0
1.077591666E-1,1.253493347E0,3.445235596E0,9.317224731E0
1.177871666E-1,1.364861755E0,2.487826538E0,9.020841064E0
1.278161666E-1,8.455915833E-1,1.349294128E0,8.342152405E0
1.378441666E-1,1.104702759E-1,6.083349609E-1,8.619675293E0
1.478731666E-1,6.885681152E-2,9.083111572E-1,8.983867950E0
1.579021666E-1,5.661227417E-1,2.247576141E0,9.071585541E0
1.679301666E-1,4.553530884E-1,2.638862457E0,8.626261597E0
1.779591666E-1,5.035528564E-1,2.665507050E0,8.717871094E0
1.879881666E-1,1.818119202E0,1.952988739E0,1.070304291E1
1.980161667E-1,9.982740784E-1,7.770341492E-1,1.067654800E1
2.080451667E-1,2.245330811E-1,8.523275757E-1,9.292226715E0
2.180741667E-1,5.207670593E-1,1.563498688E0,8.862769775E0
2.281021667E-1,8.894503784E-1,1.445244598E0,9.086105347E0
2.381311667E-1,8.605604553E-1,1.004710693E0,9.224567413E0
2.481601667E-1,3.290158081E-1,1.397344208E0,1.034603531E1
2.581837917E-1,-5.176235962E-1,2.358794861E0,9.497000885E0
2.682127916E-1,-1.609153748E-1,2.272574158E0,8.444689178E0
2.782417916E-1,8.657995605E-1,1.918111267E0,9.112749939E0
2.882697916E-1,2.400707703E0,1.752555542E0,8.522377625E0
2.982987916E-1,3.427572327E0,1.207389221E0,8.727151794E0
3.083277916E-1,4.121828613E0,3.210823059E-1,9.815688171E0
3.183557916E-1,4.368365936E0,4.514611816E-1,9.653724976E0
3.283847916E-1,4.622387695E0,5.629792786E-1,9.580676880E0
3.384137916E-1,4.446054382E0,4.821473694E-1,9.744136963E0
3.484417916E-1,3.805835724E0,1.169368286E0,9.658664703E0
3.584707916E-1,3.103945312E0,1.619482269E0,9.440867615E0
3.684987916E-1,2.673290863E0,1.623673553E0,9.199419708E0
3.785277916E-1,2.519111481E0,1.347946930E0,9.646240540E0
3.885567916E-1,3.433859253E0,2.887495422E-1,1.001013382E1
3.985847917E-1,3.299438782E0,-4.102967834E-1,9.651928711E0
4.086137917E-1,2.699187012E0,-1.652563477E-1,1.003647903E1
4.186427917E-1,2.715952148E0,6.116281128E-1,9.165290680E0
4.286707917E-1,3.444636841E0,1.116977234E0,9.598190460E0
