"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636481971102284E9,"2021-11-09 19:19:31.102 UTC+01:00"
"PAUSE",1.902960608333342E1,1.636481990131539E9,"2021-11-09 19:19:50.132 UTC+01:00"
