"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.864625900E-2,2.486148357E0,1.027292371E0,8.031114340E-1
3.102401900E-2,2.542957067E0,9.709417224E-1,8.408312798E-1
3.340183200E-2,2.587701797E0,9.083298445E-1,8.750386834E-1
3.577959200E-2,2.611982822E0,8.405258060E-1,9.058864713E-1
3.815740500E-2,2.624352455E0,7.690566778E-1,9.307785034E-1
4.053516500E-2,2.625726938E0,6.923953891E-1,9.497147799E-1
4.291297800E-2,2.616258860E0,6.096255779E-1,9.688037634E-1
4.529073800E-2,2.599613190E0,5.244123936E-1,9.929322004E-1
4.766855100E-2,2.578233480E0,4.465293586E-1,1.014464617E0
5.004636300E-2,2.550745487E0,3.662029207E-1,1.033706307E0
5.242412400E-2,2.516079903E0,2.831276953E-1,1.044548869E0
5.480193600E-2,2.475305796E0,2.050919682E-1,1.054016948E0
5.717969700E-2,2.429797649E0,1.331647038E-1,1.062416077E0
5.955750900E-2,2.383067846E0,6.749862432E-2,1.071884274E0
6.193526900E-2,2.343515396E0,2.290677279E-2,1.086086392E0
6.431308200E-2,2.316027403E0,-5.497625098E-3,1.096318126E0
6.669084200E-2,2.293120623E0,-2.535016090E-2,1.096776247E0
6.906865500E-2,2.273878813E0,-4.153761268E-2,1.089751482E0
7.144641500E-2,2.264258146E0,-3.680354729E-2,1.083643079E0
7.382422800E-2,2.261662006E0,-1.466033421E-2,1.072647810E0
7.620198800E-2,2.260287523E0,2.107422985E-2,1.056460381E0
7.857980100E-2,2.269755602E0,6.047387794E-2,1.027903199E0
8.095756100E-2,2.277849436E0,1.094943732E-1,9.946120381E-1
8.333537400E-2,2.288233757E0,1.747023165E-1,9.573503733E-1
8.571318600E-2,2.302283287E0,2.522799075E-1,9.150491953E-1
8.809094700E-2,2.316332817E0,3.359659910E-1,8.690829277E-1
9.046875900E-2,2.330229521E0,4.257605374E-1,8.231166601E-1
9.284651900E-2,2.341835737E0,5.094466209E-1,7.736380696E-1
9.522433200E-2,2.349776745E0,5.595360994E-1,7.255338430E-1
9.760209200E-2,2.336338043E0,5.453338623E-1,6.916317940E-1
9.997990500E-2,2.318165302E0,5.152496696E-1,6.725428104E-1
1.023576650E-1,2.295258522E0,4.642439187E-1,6.623111367E-1
1.047354780E-1,2.260440350E0,3.860554695E-1,6.620057225E-1
1.071132380E-1,2.223178625E0,2.930539846E-1,6.644490957E-1
1.094910510E-1,2.164384604E0,1.676775664E-1,6.624638438E-1
1.118688630E-1,2.098412991E0,2.000524849E-2,6.728482842E-1
1.142466240E-1,2.026638508E0,-1.322484314E-1,6.931589246E-1
1.166244360E-1,1.953489542E0,-2.884726226E-1,7.073611021E-1
1.190021970E-1,1.879118919E0,-4.497362971E-1,7.142331600E-1
