"event","experiment time","system time","system time text"
"START",0.000000000E0,1636394051.777,"2021-11-08 18:54:11.777 UTC+01:00"
"PAUSE",2.267399723E1,1636394074.451,"2021-11-08 18:54:34.451 UTC+01:00"
