"event","experiment time","system time","system time text"
"START",0.000000000E0,1636392074.519,"2021-11-08 18:21:14.519 UTC+01:00"
"PAUSE",3.366910967E1,1636392108.188,"2021-11-08 18:21:48.188 UTC+01:00"
