"event","experiment time","system time","system time text"
"START",0.000000000E0,1636213937.736,"2021-11-06 16:52:17.736 UTC+01:00"
"PAUSE",7.004462273E1,1636214007.781,"2021-11-06 16:53:27.781 UTC+01:00"
