"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636326133849513E9,"2021-11-08 00:02:13.850 UTC+01:00"
"PAUSE",6.197459729167167E1,1.636326195824124E9,"2021-11-08 00:03:15.824 UTC+01:00"
