"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.359637504E-2,9.715291858E-1,-5.783697963E-1,-7.031998038E-1
5.358937499E-2,9.640851021E-1,-3.296097517E-1,-7.590218186E-1
6.358237495E-2,9.867491722E-1,-1.398707181E-1,-7.832331657E-1
7.357637503E-2,1.022354603E0,-6.783527136E-2,-7.896174192E-1
8.356937498E-2,1.021510601E0,-1.478534043E-1,-7.915426493E-1
9.356237494E-2,1.000953555E0,-2.614876330E-1,-7.958023548E-1
1.035563750E-1,9.535837770E-1,-3.513551950E-1,-7.619624138E-1
1.135493750E-1,8.819558024E-1,-4.534202516E-1,-7.244513035E-1
1.235423750E-1,7.493487597E-1,-5.917019844E-1,-7.059114575E-1
1.335363750E-1,5.067901015E-1,-7.088599205E-1,-6.870186925E-1
1.435293750E-1,2.275238931E-1,-6.859945059E-1,-6.482726336E-1
1.535223750E-1,-1.258718688E-2,-5.320578814E-1,-5.590386391E-1
1.635163750E-1,-9.492626786E-2,-3.100541234E-1,-4.308460653E-1
1.735093750E-1,-4.702575505E-2,-1.676246375E-1,-2.558984458E-1
1.835023750E-1,1.529381238E-2,-9.595950693E-2,-6.339798123E-2
1.934963750E-1,-2.973169647E-2,-1.154999807E-1,1.370950341E-1
2.034893750E-1,-2.277635485E-1,-2.193425000E-1,2.959563136E-1
2.134823750E-1,-5.435408354E-1,-2.871337831E-1,4.058192670E-1
2.234763750E-1,-9.014345407E-1,-2.959552407E-1,5.082984567E-1
2.334693749E-1,-1.192228675E0,2.758974954E-2,6.014784575E-1
2.434623750E-1,-1.519802213E0,3.173842728E-1,7.391747832E-1
2.534563750E-1,-2.051454067E0,9.509541839E-2,8.723415732E-1
2.634493749E-1,-2.701865911E0,-2.161679268E-1,1.126767159E0
2.734423750E-1,-3.217025757E0,-6.890603900E-1,1.470728278E0
2.834363750E-1,-3.420445442E0,-1.084834337E0,1.694648743E0
2.934293750E-1,-3.322453976E0,-1.174374700E0,1.771928191E0
3.034223750E-1,-2.963639259E0,-6.508253813E-1,1.677993178E0
3.134163750E-1,-2.573248148E0,4.680039883E-1,1.387822628E0
3.234093750E-1,-2.197791815E0,9.712133408E-1,1.020182014E0
3.334023750E-1,-1.830851674E0,2.047671080E-1,8.464850783E-1
3.433963750E-1,-1.609168887E0,-9.292654395E-1,8.483644724E-1
3.533893750E-1,-1.547962546E0,-1.723477721E0,8.369681239E-1
3.633823750E-1,-1.594012022E0,-2.038142681E0,8.866465092E-1
3.733763749E-1,-1.545920014E0,-2.115334272E0,1.013089776E0
3.833693750E-1,-1.358249426E0,-1.782118559E0,1.041952014E0
