"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.140656270E-1,-2.399129570E-1,-9.196139872E-2,-3.844960406E-2
2.160984400E-1,-4.619886354E-2,-9.171007276E-1,-4.059635848E-2
2.180984400E-1,-3.768165782E-2,-8.915491104E-1,-6.401867419E-2
2.204375020E-1,-3.450515866E-2,-8.681267500E-1,-8.637634665E-2
2.221328150E-1,-3.235840425E-2,-8.457691073E-1,-1.076693609E-1
2.240984400E-1,-3.448770568E-2,-8.266053796E-1,-1.289623827E-1
2.260984400E-1,-3.981095925E-2,-8.095709682E-1,-1.470614374E-1
2.280984400E-1,-4.939281940E-2,-7.946658731E-1,-1.630312055E-1
2.300984400E-1,-6.323327869E-2,-7.818900347E-1,-1.768716723E-1
2.321000020E-1,-8.134979755E-2,-7.701789141E-1,-1.864535213E-1
2.340984400E-1,-1.004960611E-1,-7.595323920E-1,-1.939060837E-1
2.360984400E-1,-1.249830276E-1,-7.488858700E-1,-1.992293298E-1
2.380984400E-1,-1.515993029E-1,-7.435626388E-1,-2.024232894E-1
2.400984400E-1,-1.824741662E-1,-7.414333224E-1,-2.088111937E-1
2.421000020E-1,-2.165430039E-1,-7.371746898E-1,-2.141344398E-1
2.440984400E-1,-2.516764700E-1,-7.275928855E-1,-2.183930427E-1
2.460984400E-1,-2.889567018E-1,-7.158817053E-1,-2.194577008E-1
2.480984400E-1,-3.272841275E-1,-7.052526474E-1,-2.173283994E-1
2.500984400E-1,-3.677234054E-1,-7.009766102E-1,-2.141344398E-1
2.521000020E-1,-4.071154892E-1,-7.031058669E-1,-2.088111937E-1
2.540984400E-1,-4.475722313E-1,-7.105584145E-1,-2.024232894E-1
2.560984400E-1,-4.869643152E-1,-7.243989110E-1,-1.971000284E-1
2.580984400E-1,-5.263563991E-1,-7.424979806E-1,-1.907121241E-1
2.604375020E-1,-5.636191964E-1,-7.637909651E-1,-1.832595766E-1
2.621328150E-1,-5.998347402E-1,-7.872307301E-1,-1.758070141E-1
