"event","experiment time","system time","system time text"
"START",0.000000000E0,1636483911.458,"2021-11-09 19:51:51.458 UTC+01:00"
"PAUSE",5.480966446E1,1636483966.268,"2021-11-09 19:52:46.268 UTC+01:00"
