"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636488892099935E9,"2021-11-09 21:14:52.100 UTC+01:00"
"PAUSE",3.407258745832951E1,1.636488926171052E9,"2021-11-09 21:15:26.171 UTC+01:00"
