"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636363755608216E9,"2021-11-08 10:29:15.608 UTC+01:00"
"PAUSE",8.322365979163442E1,1.636363838832161E9,"2021-11-08 10:30:38.832 UTC+01:00"
