"event","experiment time","system time","system time text"
"START",0.000000000E0,1636362054.493,"2021-11-08 14:30:54.493 UTC+05:30"
"PAUSE",3.003477836E1,1636362084.528,"2021-11-08 14:31:24.528 UTC+05:30"
