"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636489613896407E9,"2021-11-09 21:26:53.896 UTC+01:00"
"PAUSE",3.323611962501309E1,1.636489647131092E9,"2021-11-09 21:27:27.131 UTC+01:00"
