"event","experiment time","system time","system time text"
"START",0.000000000E0,1636209426.142,"2021-11-06 15:37:06.142 UTC+01:00"
"PAUSE",6.004723222E1,1636209486.189,"2021-11-06 15:38:06.189 UTC+01:00"
