"event","experiment time","system time","system time text"
"START",0.000000000E0,1636361607.985,"2021-11-08 14:23:27.985 UTC+05:30"
"PAUSE",3.005814867E1,1636361638.043,"2021-11-08 14:23:58.043 UTC+05:30"
