"event","experiment time","system time","system time text"
"START",0.000000000E0,1636481698.476,"2021-11-09 19:14:58.476 UTC+01:00"
"PAUSE",4.667074488E1,1636481745.146,"2021-11-09 19:15:45.146 UTC+01:00"
