"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.167916973E-4,-2.163746506E-1,-1.101637408E-1,-2.522760443E-2
1.023579168E-2,-2.758273184E-1,-2.674995661E-1,-2.159570111E-3
2.025479171E-2,-3.031986654E-1,-4.046921730E-1,4.129306599E-2
3.027379169E-2,-3.070138991E-1,-5.052587390E-1,7.395753264E-2
4.029279167E-2,-3.192388713E-1,-5.368286371E-1,8.163648844E-2
5.031179171E-2,-3.663818836E-1,-4.877394140E-1,6.408439577E-2
6.033079169E-2,-4.171366692E-1,-3.976068497E-1,3.604956716E-2
7.034979167E-2,-4.475555718E-1,-2.978197932E-1,1.839067787E-2
8.036879171E-2,-4.593428969E-1,-2.307868004E-1,1.385236904E-2
9.038779169E-2,-4.550615847E-1,-2.027035058E-1,3.815184906E-2
1.004067917E-1,-4.368970990E-1,-2.162903696E-1,9.251912683E-2
1.104257917E-1,-4.024451375E-1,-2.530358732E-1,1.405761242E-1
1.204437917E-1,-3.507058322E-1,-3.181518018E-1,1.649711132E-1
1.304627917E-1,-2.928454578E-1,-3.981374502E-1,1.360973865E-1
1.404817917E-1,-2.633312941E-1,-4.796595275E-1,8.168196678E-2
1.505007917E-1,-2.944484651E-1,-5.608771443E-1,2.622244321E-2
1.605197917E-1,-3.674078584E-1,-6.416991353E-1,-2.021966688E-2
1.705387917E-1,-4.578927457E-1,-7.304657102E-1,-5.224391073E-2
1.805577917E-1,-5.471343994E-1,-8.220076561E-1,-8.915179223E-2
1.905767917E-1,-6.289293766E-1,-9.204154015E-1,-1.250301749E-1
2.005957917E-1,-6.955029964E-1,-1.026104212E0,-1.571743339E-1
2.106147917E-1,-7.666462064E-1,-1.127863765E0,-1.822013855E-1
2.206337917E-1,-8.647819757E-1,-1.212860465E0,-2.056109458E-1
2.306517917E-1,-1.005343914E0,-1.203608394E0,-1.783761233E-1
2.406707917E-1,-1.276838541E0,-1.024857879E0,-2.669792250E-2
2.506897917E-1,-1.671090961E0,-1.029386044E0,1.035785973E-1
2.607087917E-1,-1.989042759E0,-1.117868543E0,1.041269675E-1
2.707277917E-1,-2.186119795E0,-1.280773282E0,-4.565001279E-2
2.807467917E-1,-2.345165491E0,-1.507915258E0,-2.959573567E-1
2.907657917E-1,-2.544494152E0,-1.920735121E0,-5.331611037E-1
3.007847917E-1,-2.734733820E0,-2.103794813E0,-6.980669498E-1
3.108037917E-1,-2.860560656E0,-2.201455116E0,-7.404128313E-1
3.208227917E-1,-2.939279556E0,-2.132644176E0,-8.808013201E-1
3.308417917E-1,-2.906816959E0,-2.054170132E0,-1.128580451E0
3.408607917E-1,-2.734325886E0,-2.063852072E0,-1.402569175E0
3.508787917E-1,-2.390479326E0,-2.102889299E0,-1.598798275E0
3.608977917E-1,-1.903550267E0,-2.137171268E0,-1.703254580E0
3.709167917E-1,-1.351420760E0,-2.170147181E0,-1.739268184E0
3.809357917E-1,-9.107444286E-1,-2.077673912E0,-1.535365939E0
3.909547917E-1,-5.104311109E-1,-1.501360297E0,-1.112129450E0
4.009737917E-1,-3.207977116E-1,-1.456013560E0,-5.299760103E-1
4.109927917E-1,-2.950457335E-1,-1.635360956E0,-7.407134026E-2
4.210117917E-1,-2.705319226E-1,-1.395246625E0,2.642751634E-1
