Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
18.02,2.99,9.01,2.07
18.02,2.96,9.05,2.10
18.02,2.99,9.03,2.13
18.02,2.96,9.01,2.20
18.03,2.92,9.02,2.24
18.03,2.97,8.96,2.21
18.03,2.97,8.98,2.25
18.03,2.92,8.96,2.26
18.04,3.02,8.94,2.22
18.04,3.00,8.92,2.26
18.04,3.00,8.95,2.27
18.04,3.08,8.93,2.20
18.05,3.11,8.88,2.12
18.05,3.06,8.87,2.08
18.05,3.09,8.87,2.12
18.05,3.09,8.86,2.02
18.06,3.12,8.83,1.92
18.06,3.09,8.86,1.95
18.06,3.10,8.82,1.89
18.06,3.11,8.85,1.86
18.07,3.10,8.88,1.85
18.07,3.10,8.83,1.87
18.07,3.07,8.85,1.86
18.07,3.06,8.88,1.86
18.08,3.06,8.90,1.87
18.08,3.03,8.90,1.92
18.08,3.05,8.91,1.97
18.08,3.01,8.93,1.92
18.09,2.94,8.93,2.00
18.09,2.97,8.95,2.02
18.09,2.96,8.95,2.09
18.09,2.92,8.97,2.08
18.10,2.91,8.98,2.09
18.10,2.87,8.95,2.13
18.10,2.89,8.95,2.14
18.10,2.81,8.97,2.11
18.11,2.85,9.02,2.11
18.11,2.85,9.01,2.14
18.11,2.82,8.99,2.12
18.11,2.82,9.05,2.06
18.12,2.74,9.06,2.10
18.12,2.78,9.00,2.09
18.12,2.79,9.04,2.11
18.12,2.78,9.05,2.04
18.13,2.73,9.02,2.03
18.13,2.73,9.03,2.00
18.13,2.73,9.04,1.98
18.13,2.74,9.01,1.97
18.14,2.70,9.06,1.95
18.14,2.68,9.03,1.96
18.14,2.73,9.02,1.93
18.14,2.71,8.99,1.89
18.15,2.65,9.06,1.96
18.15,2.63,9.05,1.96
18.15,2.62,9.05,1.91
18.15,2.62,9.08,1.86
18.16,2.63,9.07,1.94
18.16,2.60,9.04,1.92
18.16,2.62,9.08,1.92
18.16,2.63,9.08,1.93
18.17,2.64,9.09,1.96
18.17,2.64,9.06,1.96
