"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.542208324E-3,-2.168989563E0,4.934189301E0,7.962691498E0
1.552320836E-2,-1.939965820E0,4.994663544E0,7.760012970E0
2.550420834E-2,-2.092947693E0,5.016967163E0,7.558681641E0
3.548520833E-2,-2.277663574E0,5.038222961E0,7.521708527E0
4.546620836E-2,-2.317331085E0,5.071902924E0,7.670798492E0
5.544720835E-2,-2.300416260E0,5.068160706E0,7.764952698E0
6.542720832E-2,-2.280357971E0,4.994214478E0,7.791447601E0
7.540920837E-2,-2.205064545E0,4.929698639E0,7.773335266E0
8.538920834E-2,-2.124082947E0,4.867877197E0,7.904462585E0
9.537020832E-2,-2.077679443E0,4.730163574E0,7.946375427E0
1.053512084E-1,-2.138602753E0,4.703518982E0,8.004005585E0
1.153322083E-1,-2.299518127E0,4.642146606E0,8.100854187E0
1.253132083E-1,-2.486179962E0,4.326004028E0,8.105045471E0
1.352942084E-1,-2.726580048E0,4.017345886E0,8.252339172E0
1.452752083E-1,-2.613115997E0,3.919150085E0,8.276439056E0
1.552562083E-1,-2.306254120E0,3.789519653E0,8.344547424E0
1.652372084E-1,-2.158211975E0,3.676055603E0,8.938961334E0
1.752182083E-1,-2.255210266E0,3.926484833E0,9.797725525E0
1.851992083E-1,-2.068698120E0,4.355492706E0,1.038854691E1
1.951802084E-1,-2.345173187E0,4.106260986E0,9.774523773E0
2.051612083E-1,-2.915786591E0,3.824097748E0,8.816965027E0
2.151422083E-1,-3.183729401E0,3.717220001E0,7.868088226E0
2.251232084E-1,-3.027154999E0,3.750600586E0,7.484885101E0
2.351042083E-1,-2.355801086E0,3.816463623E0,7.617509308E0
2.450852083E-1,-1.989812164E0,4.000431061E0,8.131240997E0
2.550662084E-1,-1.828148346E0,4.255051575E0,8.799451447E0
2.650472083E-1,-1.433568878E0,4.397405548E0,9.576635284E0
2.750282083E-1,-9.883946228E-1,4.312681732E0,9.994266815E0
2.850092084E-1,-9.051676941E-1,3.940106506E0,9.591304779E0
2.949902083E-1,-1.237326965E0,3.703149261E0,9.119036865E0
3.049712083E-1,-1.780247955E0,3.515439606E0,8.818910980E0
3.149522083E-1,-2.160457306E0,3.539838867E0,8.710087280E0
3.249332084E-1,-2.558928680E0,3.669768677E0,8.969797211E0
3.349142083E-1,-2.905458069E0,3.639531555E0,9.380992126E0
3.448952083E-1,-3.096161499E0,3.499123535E0,9.392967224E0
3.548762084E-1,-3.348536682E0,3.557202759E0,9.165440369E0
3.648572083E-1,-3.392994232E0,3.681294708E0,8.719966736E0
3.748382083E-1,-3.163072357E0,3.573668518E0,8.320746918E0
3.848192084E-1,-2.765948181E0,3.296744385E0,7.983049164E0
3.948002083E-1,-2.383044434E0,3.183130646E0,7.494165802E0
4.047812083E-1,-2.067051544E0,3.126248932E0,7.062613220E0
4.147622084E-1,-1.880988464E0,3.130290527E0,7.574398956E0
4.247432083E-1,-1.920206909E0,3.096460876E0,8.682993622E0
4.347242083E-1,-2.418969727E0,2.885699158E0,9.277257843E0
4.447043333E-1,-3.228486328E0,2.907404022E0,9.342372437E0
4.546853334E-1,-3.880530396E0,3.292553101E0,9.553433533E0
4.646663333E-1,-4.369114380E0,3.956422577E0,9.739795990E0
4.746473333E-1,-5.042863312E0,4.357438660E0,9.561067657E0
4.846283334E-1,-5.309458923E0,4.249962158E0,8.994046783E0
4.946093333E-1,-5.313799896E0,4.069886627E0,8.181536407E0
5.045903333E-1,-4.944068756E0,3.775598602E0,7.428302765E0
5.145713334E-1,-4.655768280E0,3.731440430E0,6.914720764E0
5.245523333E-1,-4.283342743E0,3.690874786E0,6.580316162E0
5.345333333E-1,-3.773952026E0,3.571123810E0,6.406976624E0
5.445143334E-1,-3.173550568E0,3.452270966E0,6.784641266E0
5.544953333E-1,-2.588417358E0,3.317401428E0,7.611372070E0
5.644763333E-1,-2.274969177E0,3.159180450E0,8.395142212E0
5.744573334E-1,-2.342478790E0,3.210673370E0,8.972042542E0
5.844383333E-1,-2.776426392E0,3.421584778E0,9.271120605E0
5.944193333E-1,-3.395988007E0,3.461701355E0,9.098230133E0
6.044003334E-1,-4.023483124E0,3.500171356E0,8.591982880E0
6.143813333E-1,-4.476291504E0,3.643722839E0,8.217461700E0
6.243623333E-1,-4.609514465E0,3.685336304E0,7.927364960E0
6.343433334E-1,-4.687651978E0,3.568429413E0,7.458090820E0
6.443243333E-1,-4.902006226E0,3.434308319E0,6.968608704E0
6.543053333E-1,-5.020709381E0,3.487597504E0,6.575975189E0
6.642863334E-1,-5.390440521E0,3.380719757E0,6.305787048E0
6.742673334E-1,-5.776038666E0,3.313359833E0,6.156248016E0
6.842483333E-1,-5.472769318E0,3.717369690E0,6.637048187E0
6.942293333E-1,-5.466183014E0,3.612138519E0,7.024143219E0
7.042103334E-1,-5.473368073E0,2.682721252E0,6.907236328E0
7.141913333E-1,-5.420378265E0,2.477348328E0,7.085515594E0
7.241723333E-1,-5.596561890E0,2.651735687E0,7.444768524E0
7.341533334E-1,-5.668412476E0,2.550097046E0,7.304959259E0
7.441343333E-1,-5.442831573E0,2.412682800E0,6.670129395E0
7.541153333E-1,-5.571863251E0,2.724035339E0,6.549480286E0
7.640963334E-1,-5.957760773E0,2.928809509E0,6.821015625E0
7.740773333E-1,-6.259533234E0,2.328258362E0,7.085216217E0
7.840583333E-1,-6.604715424E0,1.945653992E0,7.499853973E0
7.940393334E-1,-6.685098267E0,1.913620605E0,7.766748962E0
8.040203333E-1,-6.663094025E0,1.923649750E0,7.811954956E0
8.140013333E-1,-6.541546783E0,1.799857178E0,7.970475311E0
8.239823334E-1,-6.312523041E0,1.548829193E0,8.136779480E0
8.339633333E-1,-6.110443268E0,1.298549652E0,8.406967621E0
8.439443333E-1,-6.123466187E0,1.267863464E0,8.736432495E0
8.539253334E-1,-6.443500671E0,1.286424866E0,8.609047394E0
8.639063333E-1,-7.028484192E0,1.479822693E0,7.792196045E0
8.738873333E-1,-7.301815796E0,1.997745667E0,6.750063171E0
8.838673334E-1,-7.182064819E0,2.677931213E0,6.027216339E0
8.938483333E-1,-7.211852875E0,2.878514099E0,6.163433075E0
9.038293333E-1,-7.306456146E0,2.869832153E0,5.946683807E0
9.138103334E-1,-7.206164703E0,2.714006195E0,6.104904785E0
9.237913333E-1,-6.891069946E0,2.541714478E0,6.596482544E0
9.337723333E-1,-6.908134460E0,2.354304199E0,6.972500610E0
9.437533334E-1,-7.010671234E0,2.238894196E0,7.072342987E0
9.537343333E-1,-7.091802521E0,1.999242554E0,6.906936951E0
9.637153333E-1,-6.974596252E0,1.491947479E0,6.904242554E0
9.736963334E-1,-6.624923401E0,8.761280823E-1,7.101083221E0
9.836773333E-1,-6.295159149E0,9.437873840E-1,7.089706879E0
9.936583333E-1,-6.236780548E0,1.359323273E0,6.863676910E0
1.003639333E0,-6.188131714E0,1.478924561E0,6.559359741E0
1.013620333E0,-5.998925171E0,1.412163391E0,5.997727661E0
1.023601333E0,-6.051016846E0,1.353784790E0,5.253774719E0
1.033582333E0,-6.352639618E0,1.071022797E0,4.511618042E0
1.043563333E0,-6.685996399E0,7.839198303E-1,3.895648956E0
1.053544333E0,-6.470893707E0,8.632548523E-1,3.542982330E0
1.063525333E0,-5.643264771E0,3.373983765E-1,4.104165344E0
1.073506333E0,-5.191055145E0,-1.426533508E-1,4.311633911E0
1.083487333E0,-4.649181976E0,-1.227447510E-1,4.691394196E0
1.093468333E0,-4.284989319E0,1.080752563E-1,5.399870911E0
1.103449333E0,-4.559069366E0,3.094065857E-1,5.852529602E0
1.113430333E0,-4.970264282E0,1.826202393E-1,6.410120087E0
1.123411333E0,-5.454207916E0,2.918930054E-2,6.740932159E0
1.133392333E0,-6.082451477E0,3.891906738E-3,6.662345581E0
1.143373333E0,-6.732250214E0,-3.888912964E-1,6.528673553E0
1.153354333E0,-7.161258087E0,-9.812095642E-1,6.022875366E0
1.163335333E0,-6.799909515E0,-1.663939819E0,5.774691467E0
1.173316333E0,-5.898633728E0,-2.045646057E0,5.327421570E0
1.183297333E0,-4.947212219E0,-2.082319794E0,5.057083740E0
1.193278333E0,-4.378844147E0,-1.949096832E0,5.342689819E0
1.203259333E0,-4.777165833E0,-1.723066864E0,5.769751740E0
1.213240333E0,-5.694009247E0,-1.448837128E0,6.171366577E0
