"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.152723333E-1,-8.157681823E-1,-3.078379154E0,3.154344857E-1
9.253123333E-1,-3.078484058E0,-3.327656507E0,4.257197380E-1
9.353223333E-1,-4.144392014E0,-3.111817122E0,4.348562062E-1
9.453323333E-1,-4.474995613E0,-2.706942558E0,6.059728265E-1
9.553423333E-1,-4.283731937E0,-2.281141520E0,4.150865674E-1
9.653823333E-1,-3.832894087E0,-1.747612715E0,-3.816158324E-2
9.753923333E-1,-3.272896290E0,-9.278543591E-1,-5.767197609E-1
9.854013333E-1,-2.602718592E0,1.373440325E-1,-8.983675838E-1
9.954113333E-1,-1.749522924E0,8.833360672E-1,-9.176587462E-1
1.005451333E0,-7.744216919E-1,1.488550663E0,-9.271510243E-1
1.015461333E0,1.889300048E-1,1.828332186E0,-9.033377171E-1
1.025471333E0,9.888015985E-1,1.493882775E0,-8.593638539E-1
1.035481333E0,1.631907940E0,6.265308261E-1,-6.929169297E-1
1.045521333E0,2.052412271E0,-4.199479818E-1,-5.017504096E-1
1.055531333E0,2.071787834E0,-1.038627863E0,-3.792474270E-1
1.065541333E0,1.461854100E0,-2.947606444E-1,-3.577216268E-1
1.075581333E0,4.243544340E-1,-9.246343374E-2,-1.892675608E-1
1.085591333E0,-5.178394318E-1,-5.775078535E-1,2.267163247E-1
1.095600333E0,-1.071561456E0,-9.882302284E-1,5.621903539E-1
1.105610333E0,-1.150816321E0,-1.120062828E0,3.901290894E-1
1.115650333E0,-9.654875994E-1,-9.296724200E-1,-2.165896446E-1
1.125660333E0,-5.763441324E-1,-3.397952914E-1,-7.561767101E-1
1.135670333E0,-1.965178177E-2,9.017890692E-2,-8.808432221E-1
1.145680333E0,4.331846535E-1,1.135950163E-1,-7.243454456E-1
1.155720333E0,4.272395968E-1,-2.080161124E-2,-4.782519639E-1
1.165730333E0,-3.006189130E-2,-4.249344468E-1,-6.909241527E-2
1.175740333E0,-4.865900278E-1,-8.096464276E-1,1.850199401E-1
1.185749333E0,-6.622638106E-1,-1.028155565E0,1.256357133E-1
1.195790333E0,-5.567507148E-1,-8.151397705E-1,-4.492802918E-2
1.205799333E0,-2.446109205E-1,-2.856231928E-1,-3.065599203E-1
1.215809333E0,1.504158527E-1,1.640682071E-1,-6.093769670E-1
1.225819333E0,5.393172503E-1,3.395580351E-1,-9.346250892E-1
1.235859333E0,8.549726009E-1,3.774037659E-1,-1.250156641E0
1.245869333E0,1.000103354E0,5.079476833E-1,-1.495161653E0
1.255879333E0,9.938821793E-1,7.220968008E-1,-1.690714478E0
1.265888333E0,8.292327523E-1,9.069414735E-1,-1.817554712E0
1.275929333E0,5.478486419E-1,1.123692036E0,-1.794505954E0
1.285939333E0,4.171435833E-1,1.305698514E0,-1.711683989E0
1.295948333E0,5.865779519E-1,1.447315454E0,-1.821401596E0
1.305958333E0,1.146643639E0,1.575657129E0,-1.710057020E0
1.315998333E0,1.981567740E0,1.533075333E0,-1.523786902E0
1.326008333E0,2.755774260E0,1.334059238E0,-1.398931026E0
1.336018333E0,3.160346985E0,1.206854224E0,-1.455365300E0
1.346058333E0,3.171560049E0,1.082420707E0,-1.584881186E0
1.356068333E0,3.123269081E0,8.231774569E-1,-1.499728918E0
1.366078333E0,3.120022535E0,5.039680600E-1,-1.233781934E0
1.376087333E0,3.046988726E0,3.941239715E-1,-9.133223891E-1
1.386128333E0,2.951643705E0,5.904996395E-1,-5.068787336E-1
1.396137333E0,2.806957483E0,7.818049788E-1,-3.402677178E-2
1.406147333E0,2.608530283E0,9.159268737E-1,4.632887244E-1
1.416157333E0,2.208447456E0,8.464351296E-1,9.662674665E-1
1.426197333E0,1.602285147E0,5.896824598E-1,1.364139438E0
1.436207333E0,8.291736245E-1,1.415211856E-1,1.611919403E0
1.446217333E0,-1.409653574E-1,-5.617077947E-1,1.728694558E0
1.456227333E0,-1.140669823E0,-1.424942851E0,1.776959896E0
1.466267333E0,-1.874647141E0,-2.023849249E0,1.726441264E0
1.476277333E0,-2.325397015E0,-2.316810846E0,1.550449610E0
1.486286333E0,-2.621813774E0,-2.444916725E0,1.388385296E0
1.496296333E0,-2.788807631E0,-2.310511827E0,1.343737364E0
1.506336333E0,-2.954485893E0,-2.128217220E0,1.369727969E0
1.516346333E0,-3.043708086E0,-1.833055615E0,1.315676451E0
1.526356333E0,-3.043751717E0,-1.361327529E0,1.251351237E0
1.536366333E0,-2.842733622E0,-9.398163557E-1,1.353941798E0
1.546406333E0,-2.450738192E0,-7.797204256E-1,1.538558483E0
1.556416333E0,-1.920313358E0,-6.696270704E-1,1.648513913E0
1.566426333E0,-1.611701965E0,-7.250328064E-1,1.658460498E0
1.576435333E0,-1.235815763E0,-4.097744226E-1,1.868636608E0
1.586476333E0,-8.268962502E-1,2.602055371E-1,1.989152551E0
1.596485333E0,-4.942570627E-1,1.003633857E0,2.001473904E0
1.606518667E0,-2.185208201E-1,1.591735482E0,1.821418643E0
1.616558667E0,8.826220036E-2,1.855531573E0,1.547350645E0
1.626568667E0,3.131690621E-1,1.650561094E0,1.322082639E0
1.636578667E0,2.365135252E-1,1.057341933E0,1.056269884E0
1.646588667E0,-3.035798073E-1,2.632871568E-1,6.234654188E-1
1.656628667E0,-1.114243865E0,-1.991811991E-1,8.457815647E-2
1.666638667E0,-1.699836731E0,-4.547295868E-1,-3.350737095E-1
1.676648667E0,-2.163573503E0,-7.832288146E-1,-5.491259098E-1
1.686657667E0,-2.263027668E0,-1.177265882E0,-8.598041534E-1
1.696698667E0,-2.186058760E0,-1.153381586E0,-7.470642924E-1
1.706707667E0,-2.075575352E0,-7.592806220E-1,-3.497336805E-1
1.716717667E0,-1.957495332E0,-5.151832104E-1,-2.286652327E-1
1.726727667E0,-1.983860850E0,-8.524948955E-1,-6.084620953E-1
1.736767667E0,-2.017746925E0,-1.182207704E0,-1.227641702E0
1.746777667E0,-2.062840462E0,-1.400090337E0,-1.952120304E0
1.756787667E0,-2.153393507E0,-1.478766680E0,-2.736792803E0
1.766796667E0,-2.224440336E0,-1.283723235E0,-3.534520626E0
1.776837667E0,-2.265235424E0,-7.389391065E-1,-4.128629684E0
1.786847667E0,-2.344434738E0,-2.905272245E-1,-4.525213242E0
1.796856667E0,-2.436527252E0,4.860299826E-1,-4.770273209E0
1.806866667E0,-2.408948183E0,1.353176594E0,-4.841962337E0
1.816906667E0,-2.111713886E0,1.799744010E0,-4.697006702E0
1.826916667E0,-1.542368770E0,1.698964953E0,-4.415324688E0
1.836926667E0,-9.212432504E-1,1.499269962E0,-4.082744122E0
1.846936667E0,-4.209703207E-1,1.599164963E0,-3.693445921E0
1.856976667E0,-6.576739252E-2,1.763580084E0,-3.669388294E0
